time,open,high,low,close,volume,amounts
2018-06-04,16.12,16.53,16.12,16.12,2811840,45326860.800000004
2018-06-05,15.6,16.69,15.11,15.11,1357500,20511825.0
2018-06-06,14.96,15.11,14.33,14.49,1605480,23263405.2
2018-06-07,14.88,15.49,14.66,15.49,1376540,21322604.6
2018-06-08,15.9,16.56,15.67,16.56,2008500,33260759.999999996
2018-06-11,16.5,17.16,16.25,17.16,1229830,21103882.8
2018-06-12,17.0,17.0,16.2,16.53,1139130,18829818.900000002
2018-06-13,16.53,17.0,16.45,16.59,772670,12818595.3
2018-06-14,16.77,16.77,16.3,16.53,617130,10201158.9
2018-06-15,16.61,16.61,16.3,16.56,723460,11980497.6
2018-06-18,16.39,16.53,15.43,15.74,825810,12998249.4
2018-06-19,14.97,15.27,14.64,14.96,2092720,31307091.200000003
2018-06-20,14.96,15.19,14.66,14.99,554870,8317501.3
2018-06-21,15.02,15.02,14.69,14.99,497790,7461872.100000001
2018-06-22,14.97,14.97,14.74,14.96,328710,4917501.600000001
2018-06-25,15.11,15.27,15.07,15.1,918340,13866934.0
2018-06-26,14.86,15.04,14.83,14.96,493790,7387098.4
2018-06-27,14.72,14.96,14.72,14.74,394860,5820236.4
2018-06-28,14.64,14.72,13.93,14.52,1319230,19155219.599999998
2018-06-29,14.33,14.49,13.7,14.44,1583700,22868628.0
2018-07-02,14.45,14.45,13.7,13.84,669570,9266848.8
2018-07-03,13.78,13.9,12.88,12.88,2112230,27205522.400000002
2018-07-04,12.67,12.75,11.98,12.75,1102650,14058787.5
2018-07-05,13.63,13.63,12.75,13.3,1583450,21059885.0
2018-07-06,13.23,13.7,12.75,13.6,1160990,15789464.0
2018-07-09,13.7,13.79,13.16,13.46,631240,8496490.4
2018-07-10,13.46,13.46,12.99,13.06,549100,7171246.0
2018-07-11,12.8,12.8,12.16,12.16,1134570,13796371.2
2018-07-12,11.86,12.28,11.86,12.28,686180,8426290.4
2018-07-13,12.47,12.52,12.28,12.38,406500,5032470.0
2018-07-16,12.28,12.38,12.16,12.38,430160,5325380.800000001
2018-07-17,12.38,12.99,12.14,12.8,1174520,15033856.0
2018-07-18,12.99,13.46,12.9,13.2,1139340,15039288.0
2018-07-19,13.23,13.23,12.99,13.18,680430,8968067.4
2018-07-20,12.99,13.18,12.85,13.18,1473990,19427188.2
2018-07-23,12.9,13.16,12.57,12.57,878370,11041110.9
2018-07-24,12.75,12.99,12.42,12.47,1019120,12708426.4
2018-07-25,12.66,12.68,11.76,12.64,3348190,42321121.6
2018-07-26,12.28,12.4,12.05,12.19,645430,7867791.699999999
2018-07-27,12.19,12.38,12.09,12.26,1427670,17503234.2
2018-07-30,12.26,12.38,12.23,12.33,1438740,17739664.2
2018-07-31,12.35,13.18,12.28,13.13,4690660,61588365.800000004
2018-08-01,13.18,13.53,12.83,13.01,2060620,26808666.2
2018-08-02,12.9,13.46,12.75,13.46,3507500,47210950.0
2018-08-03,13.51,13.65,13.23,13.39,2418140,32378894.6
2018-08-06,13.23,13.37,13.13,13.23,1478320,19558173.6
2018-08-07,13.11,13.32,12.94,13.2,1670400,22049280.0
2018-08-08,13.3,13.3,12.94,13.11,1406450,18438559.5
2018-08-09,13.18,13.37,12.94,12.94,2342630,30313632.2
2018-08-10,12.94,13.09,12.47,12.85,2362660,30360181.0
2018-08-13,12.75,13.06,12.66,12.97,1369550,17763063.5
2018-08-14,12.99,12.99,12.75,12.85,850440,10928154.0
2018-08-15,12.75,12.85,12.52,12.52,1030610,12903237.2
2018-08-16,12.52,12.71,12.26,12.52,1576340,19735776.8
2018-08-17,12.52,12.71,12.52,12.52,691890,8662462.799999999
2018-08-20,12.61,12.61,12.23,12.52,847610,10612077.2
2018-08-21,12.52,12.59,12.4,12.52,904270,11321460.4
2018-08-22,12.61,12.94,12.54,12.59,1386850,17460441.5
2018-08-23,12.75,12.83,12.59,12.64,1031560,13038918.4
2018-08-24,12.64,12.73,12.52,12.57,817010,10269815.700000001
2018-08-27,12.57,12.68,12.52,12.52,1480540,18536360.8
2018-08-28,12.57,12.66,12.38,12.4,1630740,20221176.0
2018-08-29,12.4,12.45,12.33,12.35,778240,9611264.0
2018-08-30,12.35,12.42,12.31,12.42,887840,11026972.8
2018-08-31,12.42,12.68,12.42,12.42,1723040,21400156.8
2018-09-04,12.42,12.57,12.31,12.33,991610,12226551.3
2018-09-05,12.33,12.4,12.16,12.19,1052150,12825708.5
2018-09-06,12.19,12.23,11.72,11.72,2694080,31574617.6
2018-09-07,11.81,11.95,11.76,11.93,2154200,25699606.0
2018-09-10,12.0,12.05,11.81,12.05,1297720,15637526.0
2018-09-11,12.02,12.05,11.95,12.0,780150,9361800.0
2018-09-12,12.05,12.07,11.81,11.81,1460210,17245080.1
2018-09-13,11.81,12.0,11.81,11.9,1105010,13149619.0
2018-09-14,11.9,12.0,11.88,11.93,1343360,16026284.799999999
2018-09-17,11.93,12.75,11.88,12.31,2714630,33417095.3
2018-09-18,12.31,12.35,12.07,12.35,1059520,13085072.0
2018-09-19,12.38,12.78,12.38,12.57,2934180,36882642.6
2018-09-20,12.57,13.23,12.57,13.23,5779740,76465960.2
2018-09-21,13.23,13.44,13.13,13.37,4008110,53588430.699999996
2018-09-24,13.37,13.44,13.2,13.27,2213810,29377258.7
2018-09-25,13.23,13.32,13.13,13.23,2261840,29924143.2
2018-09-26,13.23,13.86,13.13,13.65,4516320,61647768.0
2018-09-27,13.79,14.01,13.77,13.89,3663710,50888931.9
2018-09-28,13.94,14.01,13.7,13.77,3943650,54304060.5
2018-10-01,13.77,13.82,13.51,13.53,2816100,38101833.0
2018-10-02,13.51,13.89,13.51,13.75,3139750,43171562.5
2018-10-03,13.89,13.94,13.77,13.86,1405830,19484803.8
2018-10-04,13.94,14.27,13.86,14.27,3273230,46708992.1
2018-10-05,14.22,14.29,14.05,14.08,3156560,44444364.8
2018-10-08,13.75,14.05,13.75,13.86,2101380,29125126.799999997
2018-10-09,13.89,14.05,13.77,14.05,2656380,37322139.0
2018-10-10,14.08,14.22,14.01,14.03,1689250,23700177.5
2018-10-11,13.32,13.75,13.09,13.16,4366960,57469193.6
2018-10-12,13.16,13.6,12.9,13.56,2298230,31163998.8
2018-10-15,13.56,13.58,13.23,13.32,2085500,27778860.0
2018-10-16,13.3,13.65,13.3,13.56,1363410,18487839.6
2018-10-17,13.84,13.84,13.68,13.75,1972280,27118850.0
2018-10-18,13.6,13.75,13.56,13.65,1487880,20309562.0
2018-10-19,13.42,13.7,13.27,13.7,1454000,19919800.0
2018-10-22,13.7,13.79,13.6,13.6,2026290,27557544.0
2018-10-23,13.6,13.6,12.66,13.13,2307530,30297868.900000002
2018-10-24,13.18,13.23,12.52,12.52,1535430,19223583.599999998
2018-10-25,11.9,12.42,11.86,12.33,2454470,30263615.1
2018-10-26,12.71,12.71,12.05,12.21,1747390,21335631.900000002
2018-10-29,12.19,12.28,12.05,12.14,1473740,17891203.6
2018-10-30,12.14,12.33,12.09,12.19,1327540,16182712.6
2018-10-31,12.33,12.71,12.33,12.71,1230140,15635079.4
2018-11-01,12.73,12.73,12.33,12.33,802870,9899387.1
2018-11-02,12.57,12.73,12.38,12.57,1048790,13183290.3
2018-11-05,12.61,12.73,12.52,12.68,920120,11667121.6
2018-11-06,12.94,12.94,12.64,12.73,1174180,14947311.4
2018-11-07,12.61,12.85,12.61,12.75,1180500,15051375.0
2018-11-08,12.99,12.99,12.73,12.75,710570,9059767.5
2018-11-09,12.68,12.73,12.45,12.45,1090990,13582825.5
