time,open,high,low,close,volume,amounts
2016-10-05,7.31,7.31,7.31,7.31,205890,1505055.9
2016-10-06,7.82,7.82,7.82,7.82,14250,111435.0
2016-10-07,8.35,8.35,8.35,8.35,30910,258098.5
2016-10-10,8.91,8.91,8.91,8.91,450360,4012707.6
2016-10-11,9.52,9.52,9.52,9.52,799790,7614000.8
2016-10-12,10.17,10.17,10.17,10.17,1130610,11498303.7
2016-10-13,10.88,10.88,10.86,10.88,3145880,34227174.400000006
2016-10-14,11.57,11.64,11.37,11.64,2242380,26101303.200000003
2016-10-17,12.43,12.45,12.35,12.45,1428260,17781837.0
2016-10-18,13.3,13.3,13.28,13.3,1439460,19144818.0
2016-10-19,14.19,14.19,12.39,12.39,1389260,17212931.400000002
2016-10-20,11.53,11.53,11.53,11.53,805310,9285224.299999999
2016-10-21,10.74,12.0,10.74,11.78,3892820,45857419.599999994
2016-10-24,11.82,12.12,11.8,12.04,1239320,14921412.799999999
2016-10-25,12.08,12.43,11.33,11.55,1387380,16024239.000000002
2016-10-26,10.97,11.57,10.78,11.57,2192960,25372547.2
2016-10-27,11.64,12.12,11.64,12.1,1137290,13761209.0
2016-10-28,11.41,12.35,11.41,12.27,1771130,21731765.099999998
2016-10-31,12.12,12.12,11.41,11.49,557560,6406364.4
2016-11-01,10.84,11.7,10.7,11.49,941280,10815307.200000001
2016-11-02,11.51,11.51,10.7,10.7,733570,7849198.999999999
2016-11-03,9.97,10.32,9.97,9.97,280160,2793195.2
2016-11-04,9.28,9.73,9.28,9.63,1020320,9825681.600000001
2016-11-07,9.34,9.75,8.96,8.96,179850,1611456.0000000002
2016-11-08,8.35,9.56,8.35,9.56,1175430,11237110.8
2016-11-09,9.6,9.97,9.14,9.69,1376620,13339447.799999999
2016-11-10,9.73,10.36,9.71,9.71,617110,5992138.100000001
2016-11-11,9.14,9.71,9.04,9.04,610960,5523078.399999999
2016-11-14,8.93,8.98,8.53,8.87,910960,8080215.199999999
2016-11-15,8.89,9.08,8.89,9.06,717210,6497922.600000001
2016-11-16,9.1,9.32,9.1,9.18,1183670,10866090.6
2016-11-17,8.93,9.18,8.93,9.06,775880,7029472.800000001
2016-11-18,9.1,9.52,9.1,9.46,1545900,14624214.000000002
2016-11-21,9.54,10.07,9.48,9.48,265960,2521300.8000000003
2016-11-22,9.48,9.69,9.48,9.52,1039110,9892327.2
2016-11-23,9.52,9.67,8.87,9.02,352320,3177926.4
2016-11-24,9.02,9.12,8.53,8.61,282950,2436199.5
2016-11-25,8.61,8.69,8.04,8.33,260410,2169215.3
2016-11-28,8.35,8.37,7.76,7.84,164100,1286544.0
2016-11-29,7.35,8.39,7.33,8.39,377890,3170497.1
2016-11-30,8.45,8.93,8.28,8.43,410010,3456384.3
2016-12-01,8.43,8.43,7.92,8.0,152600,1220800.0
2016-12-02,7.59,8.0,7.59,7.8,338550,2640690.0
2016-12-05,8.04,8.33,8.04,8.33,403940,3364820.2
2016-12-06,8.4,8.67,8.33,8.35,447500,3736625.0
2016-12-07,8.09,8.55,8.09,8.53,457640,3903669.1999999997
2016-12-08,8.71,8.85,8.53,8.85,541740,4794399.0
2016-12-09,8.62,8.85,8.62,8.85,395990,3504511.5
2016-12-12,8.62,8.71,8.33,8.33,154710,1288734.3
2016-12-13,8.2,8.24,7.82,7.82,115150,900473.0
2016-12-14,7.64,8.13,7.55,7.84,188730,1479643.2
2016-12-15,7.8,7.88,7.73,7.86,254330,1999033.8
2016-12-16,7.88,7.95,7.86,7.91,316980,2507311.8
2016-12-19,7.86,8.02,7.84,8.0,461400,3691200.0
2016-12-20,7.97,8.09,7.95,7.97,330030,2630339.1
2016-12-21,7.97,8.0,7.82,7.97,602550,4802323.5
2016-12-22,7.91,7.95,7.71,7.82,137410,1074546.2
2016-12-23,7.75,7.82,7.59,7.75,67440,522660.0
2016-12-26,7.77,7.8,7.51,7.64,104860,801130.4
2016-12-27,7.68,7.71,7.28,7.37,354160,2610159.2
2016-12-28,7.3,7.35,7.15,7.24,237510,1719572.4000000001
2016-12-29,7.15,7.26,6.77,7.15,312690,2235733.5
2016-12-30,6.97,7.55,6.95,7.55,763300,5762915.0
2017-01-03,7.39,7.55,7.39,7.55,524250,3958087.5
2017-01-04,7.57,7.59,7.46,7.51,532300,3997573.0
2017-01-05,7.37,7.68,7.37,7.62,954840,7275880.8
2017-01-06,7.55,7.57,7.42,7.57,736580,5575910.600000001
2017-01-09,7.64,7.73,7.64,7.68,710260,5454796.8
2017-01-10,7.51,7.68,7.39,7.51,665850,5000533.5
2017-01-11,7.51,7.57,7.37,7.57,764900,5790293.0
2017-01-12,7.57,7.68,7.28,7.51,1352390,10156448.9
2017-01-13,7.48,7.48,7.28,7.46,528940,3945892.4
2017-01-16,7.28,7.42,7.24,7.37,101340,746875.8
