time,open,high,low,close,volume,amounts
2010-03-26,4.33,4.33,3.99,3.99,112440,448635.60000000003
2010-03-29,3.88,3.99,3.82,3.88,44380,172194.4
2010-03-30,3.69,4.07,3.69,4.06,88950,361136.99999999994
2010-03-31,4.06,4.24,3.99,4.24,18750,79500.0
2010-04-01,4.33,4.33,4.16,4.22,43270,182599.4
2010-04-02,4.23,4.24,4.05,4.24,57030,241807.2
2010-04-05,4.12,4.25,4.12,4.24,35660,151198.4
2010-04-06,4.16,4.22,4.16,4.16,56670,235747.2
2010-04-07,3.99,4.15,3.99,4.15,18530,76899.5
2010-04-08,3.99,4.17,3.99,3.99,4820,19231.8
2010-04-09,4.1,4.1,3.88,3.99,4160,16598.4
2010-04-12,4.1,4.1,3.88,3.99,47370,189006.30000000002
2010-04-13,3.99,4.05,3.99,4.05,5610,22720.5
2010-04-14,3.99,4.05,3.99,3.99,22350,89176.5
2010-04-15,3.88,4.1,3.88,3.99,45190,180308.1
2010-04-16,4.1,4.13,3.88,4.1,46840,192043.99999999997
2010-04-19,4.1,4.1,3.91,4.1,5110,20951.0
2010-04-20,3.93,4.1,3.93,3.93,6000,23580.0
2010-04-21,4.1,4.12,3.99,4.1,24890,102048.99999999999
2010-04-22,4.1,4.21,4.1,4.1,2700,11069.999999999998
2010-04-26,4.1,4.1,3.9,4.1,3140,12873.999999999998
2010-04-27,3.93,3.99,3.93,3.93,2800,11004.0
2010-04-28,4.07,4.07,3.99,4.05,4640,18792.0
2010-04-29,4.09,4.09,3.99,3.99,15500,61845.0
2010-05-04,3.99,3.99,3.88,3.99,6090,24299.100000000002
2010-05-05,3.84,3.89,3.84,3.84,9500,36480.0
2010-05-06,3.99,3.99,3.88,3.88,2950,11446.0
2010-05-07,3.97,3.97,3.97,3.97,3010,11949.7
2010-05-10,3.77,3.81,3.77,3.77,6460,24354.2
2010-05-11,3.81,3.81,3.81,3.81,40,152.4
2010-05-12,3.86,3.86,3.86,3.86,10,38.6
2010-05-13,3.76,3.76,3.68,3.76,18630,70048.8
2010-05-14,3.58,3.6,3.58,3.58,9780,35012.4
2010-05-17,3.42,3.42,3.41,3.41,10390,35429.9
2010-05-18,3.32,3.41,3.31,3.32,17430,57867.6
2010-05-19,3.16,3.31,3.16,3.16,12250,38710.0
2010-05-20,3.08,3.27,3.08,3.27,4100,13407.0
2010-05-21,3.27,3.27,3.27,3.27,360,1177.2
2010-05-24,3.27,3.27,3.19,3.27,680,2223.6
2010-05-25,3.25,3.27,3.25,3.25,260,845.0
2010-05-26,3.19,3.4,3.19,3.4,4950,16830.0
2010-05-27,3.41,3.42,3.41,3.42,2740,9370.8
2010-05-28,3.58,3.58,3.58,3.58,500,1790.0
2010-05-31,3.42,3.53,3.42,3.42,3030,10362.6
2010-06-01,3.58,3.58,3.31,3.58,3540,12673.2
2010-06-02,3.75,3.75,3.43,3.75,14960,56100.0
2010-06-03,3.75,3.76,3.65,3.65,10600,38690.0
2010-06-04,3.74,3.74,3.47,3.74,14410,53893.4
2010-06-07,3.84,3.84,3.84,3.84,5400,20736.0
2010-06-08,3.65,3.85,3.65,3.85,5060,19481.0
2010-06-09,3.98,3.98,3.68,3.98,15770,62764.6
2010-06-10,4.03,4.03,3.98,4.03,10500,42315.0
2010-06-11,4.03,4.21,3.98,4.21,18380,77379.8
2010-06-14,4.38,4.38,4.0,4.38,20440,89527.2
2010-06-15,4.36,4.38,4.27,4.36,27340,119202.40000000001
2010-06-16,4.36,4.36,4.3,4.36,1300,5668.0
2010-06-17,4.31,4.31,4.21,4.31,2450,10559.499999999998
2010-06-18,4.27,4.27,4.15,4.27,3230,13792.099999999999
2010-06-21,4.21,4.21,4.21,4.21,400,1684.0
2010-06-22,4.21,4.26,4.0,4.21,610,2568.1
2010-06-23,4.21,4.21,4.21,4.21,0,0.0
2010-06-24,4.21,4.21,4.21,4.21,13200,55572.0
2010-06-25,4.27,4.27,4.09,4.27,11700,49958.99999999999
2010-06-28,4.38,4.38,4.09,4.38,49520,216897.6
2010-06-29,4.38,4.55,4.21,4.55,18230,82946.5
2010-06-30,4.33,4.33,4.33,4.33,10,43.3
2010-07-01,4.12,4.12,4.12,4.12,10,41.2
2010-07-02,4.21,4.21,4.21,4.21,1500,6315.0
2010-07-05,4.2,4.2,4.2,4.2,200,840.0
2010-07-06,4.21,4.21,4.09,4.21,130,547.3
2010-07-07,4.21,4.21,4.21,4.21,100,421.0
2010-07-08,4.21,4.21,4.0,4.21,230,968.3
2010-07-09,4.09,4.09,4.09,4.09,420,1717.8
2010-07-12,4.09,4.09,3.91,4.09,420,1717.8
2010-07-13,4.07,4.09,4.05,4.09,3120,12760.8
2010-07-14,4.09,4.09,4.09,4.09,450,1840.5
2010-07-15,4.08,4.08,4.08,4.08,100,408.0
2010-07-16,4.07,4.07,4.07,4.07,620,2523.4
2010-07-19,4.07,4.07,4.07,4.07,0,0.0
2010-07-20,4.07,4.07,3.88,4.07,20,81.4
2010-07-21,3.95,3.95,3.87,3.95,2060,8137.0
2010-07-22,4.03,4.03,4.03,4.03,10,40.300000000000004
2010-07-23,4.03,4.03,4.03,4.03,700,2821.0
2010-07-26,4.09,4.09,4.09,4.09,100,409.0
2010-07-27,4.09,4.09,4.09,4.09,0,0.0
2010-07-28,4.09,4.09,4.09,4.09,10,40.9
2010-07-29,3.98,4.08,3.98,3.98,700,2786.0
2010-07-30,4.0,4.09,4.0,4.09,1190,4867.099999999999
2010-08-02,3.89,4.09,3.89,4.09,330,1349.7
2010-08-03,3.98,3.98,3.98,3.98,3000,11940.0
2010-08-04,3.79,3.79,3.79,3.79,200,758.0
2010-08-05,3.98,3.98,3.98,3.98,30,119.4
2010-08-06,3.95,3.95,3.95,3.95,100,395.0
2010-08-09,3.77,3.77,3.77,3.77,110,414.7
2010-08-10,3.58,3.77,3.58,3.77,600,2262.0
2010-08-11,3.8,3.8,3.8,3.8,100,380.0
2010-08-12,3.62,3.62,3.62,3.62,200,724.0
2010-08-13,3.45,3.79,3.45,3.62,2130,7710.6
2010-08-16,3.61,3.62,3.45,3.61,800,2888.0
2010-08-17,3.44,3.61,3.44,3.44,610,2098.4
2010-08-18,3.44,3.44,3.44,3.44,100,344.0
2010-08-19,3.44,3.47,3.44,3.44,1760,6054.4
2010-08-20,3.44,3.45,3.44,3.44,5400,18576.0
2010-08-23,3.44,3.45,3.27,3.44,5960,20502.4
2010-08-24,3.5,3.5,3.27,3.33,12880,42890.4
2010-08-25,3.5,3.5,3.32,3.32,12380,41101.6
2010-08-26,3.36,3.39,3.16,3.36,14570,48955.2
2010-08-27,3.36,3.36,3.3,3.36,12800,43008.0
2010-08-30,3.36,3.48,3.22,3.45,18140,62583.0
2010-08-31,3.33,3.51,3.33,3.51,19260,67602.59999999999
2010-09-01,3.33,3.44,3.33,3.44,17300,59512.0
2010-09-06,3.5,3.6,3.39,3.5,16890,59115.0
2010-09-07,3.57,3.57,3.45,3.57,2110,7532.7
2010-09-08,3.47,3.48,3.47,3.47,9000,31230.0
2010-09-09,3.5,3.5,3.39,3.5,3000,10500.0
2010-09-10,3.46,3.46,3.46,3.46,9970,34496.2
2010-09-13,3.41,3.41,3.4,3.41,12000,40920.0
2010-09-14,3.39,3.39,3.38,3.39,10020,33967.8
2010-09-15,3.38,3.38,3.38,3.38,10000,33800.0
2010-09-16,3.38,3.38,3.34,3.38,32500,109850.0
