time,open,high,low,close,volume,amounts
2010-01-04,7.16,7.51,7.16,7.51,598640,4495786.399999999
2010-01-05,7.76,7.84,7.51,7.58,935140,7088361.2
2010-01-06,7.32,7.58,7.31,7.31,479840,3507630.4
2010-01-07,7.31,7.32,7.16,7.16,207490,1485628.4000000001
2010-01-08,7.25,7.28,7.14,7.16,351610,2517527.6
2010-01-11,7.23,7.23,6.82,7.16,207120,1482979.2
2010-01-12,7.08,7.16,6.93,6.93,269580,1868189.4
2010-01-13,6.62,7.16,6.62,7.16,469510,3361691.6
2010-01-14,7.16,7.19,7.0,7.06,129590,914905.3999999999
2010-01-15,6.93,6.99,6.9,6.9,213500,1473150.0
2010-01-18,6.85,6.85,6.62,6.62,332360,2200223.2
2010-01-19,6.7,6.81,6.67,6.81,208770,1421723.7
2010-01-20,6.91,6.91,6.67,6.67,154590,1031115.3
2010-01-21,6.67,6.7,6.55,6.55,441690,2893069.5
2010-01-22,6.55,6.62,6.42,6.47,331220,2142993.4
2010-01-25,6.44,6.49,6.44,6.47,161220,1043093.3999999999
2010-01-26,6.62,6.65,6.49,6.52,279270,1820840.4
2010-01-27,6.56,6.62,6.5,6.52,168830,1100771.5999999999
2010-01-28,6.47,6.55,6.44,6.44,134440,865793.6000000001
2010-01-29,6.44,6.44,6.39,6.39,162850,1040611.5
2010-02-01,6.39,6.45,6.36,6.36,108370,689233.2000000001
2010-02-02,6.55,6.55,6.39,6.44,260860,1679938.4000000001
2010-02-03,6.55,6.62,6.52,6.62,334020,2211212.4
2010-02-04,6.62,6.77,6.61,6.77,341670,2313105.9
2010-02-05,6.7,6.7,6.62,6.65,220730,1467854.5
2010-02-08,6.53,6.65,6.53,6.65,146740,975821.0
2010-02-09,6.58,6.61,6.49,6.49,80320,521276.8
2010-02-10,6.55,6.67,6.55,6.62,77640,513976.8
2010-02-11,6.64,6.77,6.64,6.77,229520,1553850.4
2010-02-12,6.85,6.87,6.76,6.77,191060,1293476.2
2010-02-22,6.85,6.96,6.85,6.88,282530,1943806.4
2010-02-23,6.88,6.88,6.79,6.88,473230,3255822.4
2010-02-24,6.9,7.08,6.82,7.08,708110,5013418.8
2010-02-25,7.08,7.16,6.97,7.16,664780,4759824.8
2010-02-26,7.12,7.46,7.11,7.46,896140,6685204.4
2010-03-01,7.46,7.61,7.46,7.58,569580,4317416.4
2010-03-02,7.4,7.44,7.22,7.22,438130,3163298.6
2010-03-03,7.23,7.31,7.16,7.28,200550,1460004.0
2010-03-04,7.31,7.31,7.17,7.17,180180,1291890.6
2010-03-05,7.14,7.23,7.14,7.14,131760,940766.3999999999
2010-03-08,7.14,7.22,7.08,7.14,349730,2497072.1999999997
2010-03-09,7.14,7.31,7.14,7.31,423380,3094907.8
2010-03-10,7.46,7.51,7.45,7.48,268350,2007258.0
2010-03-11,7.53,7.53,7.42,7.42,90870,674255.4
2010-03-12,7.46,7.46,7.35,7.42,200050,1484371.0
2010-03-15,7.42,7.43,7.34,7.34,335920,2465652.8
2010-03-16,7.26,7.26,7.15,7.15,289410,2069281.5
2010-03-17,7.18,7.26,7.03,7.03,212650,1494929.5
2010-03-18,7.03,7.1,7.01,7.04,262660,1849126.4
2010-03-19,7.04,7.04,6.96,6.96,326180,2270212.8
2010-03-22,6.95,7.15,6.95,7.0,192140,1344980.0
2010-03-23,7.01,7.18,7.0,7.01,200810,1407678.0999999999
2010-03-24,7.03,7.06,7.0,7.06,124330,877769.7999999999
2010-03-25,6.96,7.01,6.87,6.9,135370,934053.0
2010-03-26,6.9,7.1,6.87,7.1,284850,2022435.0
2010-03-29,7.04,7.1,7.0,7.01,165200,1158052.0
2010-03-30,6.95,7.0,6.9,6.9,119080,821652.0
2010-03-31,6.89,7.0,6.87,6.87,148860,1022668.2000000001
2010-04-01,6.9,6.9,6.85,6.9,268010,1849269.0
2010-04-02,7.03,7.03,6.87,6.92,190480,1318121.6
2010-04-05,7.01,7.03,6.95,6.98,265780,1855144.4000000001
2010-04-06,6.98,7.0,6.95,6.95,248550,1727422.5
2010-04-07,6.95,6.95,6.89,6.92,167350,1158062.0
2010-04-08,6.87,6.92,6.85,6.85,266300,1824155.0
2010-04-09,6.81,6.9,6.81,6.87,230040,1580374.8
2010-04-12,6.89,6.95,6.87,6.95,295540,2054003.0
2010-04-13,6.9,6.95,6.85,6.85,117080,801998.0
2010-04-14,6.85,6.85,6.79,6.81,83880,571222.7999999999
2010-04-15,6.87,6.87,6.79,6.81,300830,2048652.2999999998
2010-04-16,6.81,6.82,6.75,6.75,226720,1530360.0
2010-04-19,6.71,6.73,6.68,6.68,154570,1032527.6
2010-04-20,6.68,6.7,6.6,6.62,200870,1329759.4
2010-04-21,6.6,6.64,6.6,6.64,146630,973623.2
2010-04-22,6.68,6.92,6.67,6.84,210380,1438999.2
2010-04-26,6.84,6.87,6.78,6.78,205770,1395120.6
2010-04-27,6.79,6.87,6.78,6.85,273440,1873064.0
2010-04-28,6.82,6.84,6.78,6.79,111590,757696.1
2010-04-29,6.75,6.76,6.71,6.71,167650,1124931.5
2010-05-04,6.71,7.01,6.71,6.9,331060,2284314.0
2010-05-05,6.87,6.87,6.76,6.76,102950,695942.0
2010-05-06,6.71,6.76,6.7,6.7,209480,1403516.0
2010-05-07,6.64,6.67,6.59,6.64,285430,1895255.2
2010-05-10,6.6,6.65,6.51,6.64,443310,2943578.4
2010-05-11,6.71,6.71,6.59,6.64,261630,1737223.2
2010-05-12,6.56,6.6,6.48,6.48,431400,2795472.0
2010-05-13,6.62,6.62,6.48,6.51,324040,2109500.4
2010-05-14,6.57,6.57,6.51,6.51,227070,1478225.7
2010-05-17,6.54,6.54,6.4,6.46,347520,2244979.2
2010-05-18,6.34,6.46,6.34,6.46,206540,1334248.4
2010-05-19,6.36,6.42,6.34,6.34,429800,2724932.0
2010-05-20,6.25,6.37,6.25,6.37,443540,2825349.8000000003
2010-05-21,6.12,6.23,6.11,6.11,583870,3567445.7
2010-05-24,6.11,6.25,6.11,6.25,281430,1758937.5
2010-05-25,6.25,6.28,6.23,6.28,378760,2378612.8000000003
2010-05-26,6.26,6.29,6.25,6.25,309750,1935937.5
2010-05-27,6.25,6.26,6.23,6.26,230180,1440926.8
2010-05-28,6.32,6.4,6.26,6.4,232910,1490624.0
2010-05-31,6.4,6.4,6.36,6.37,265480,1691107.6
2010-06-01,6.34,6.4,6.32,6.4,186910,1196224.0
2010-06-02,6.39,6.42,6.37,6.4,373100,2387840.0
