time,open,high,low,close,volume,amounts
2010-01-04,17.24,17.94,16.92,17.94,628100,11268114.0
2010-01-05,18.99,18.99,18.51,18.99,2699000,51254009.99999999
2010-01-06,18.93,19.41,18.19,18.29,3426900,62678001.0
2010-01-07,18.51,18.93,18.03,18.19,2838000,51623220.0
2010-01-08,18.51,19.79,18.35,19.63,4860100,95403763.0
2010-01-11,19.63,20.11,18.83,19.06,2759500,52596070.0
2010-01-12,18.71,19.15,17.94,17.94,2910200,52208988.0
2010-01-13,17.56,19.47,17.17,18.67,3548300,66246761.00000001
2010-01-14,19.09,19.12,18.39,18.96,2935800,55662768.0
2010-01-15,19.15,19.44,17.88,17.91,1700300,30452373.0
2010-01-18,17.56,18.19,16.98,17.01,1809000,30771090.000000004
2010-01-19,16.76,17.88,16.6,17.56,2247400,39464344.0
2010-01-20,18.03,18.13,16.6,16.73,1458600,24402378.0
2010-01-21,16.28,16.73,15.86,15.93,2741500,43672095.0
2010-01-22,15.64,16.44,15.16,16.28,1848700,30096836.000000004
2010-01-25,15.8,16.25,15.32,15.64,1125900,17609076.0
2010-01-26,15.96,16.73,15.8,16.73,1414700,23667931.0
2010-01-27,17.08,17.72,15.83,16.28,1407600,22915728.0
2010-01-28,15.8,16.28,15.61,15.61,1071900,16732359.0
2010-01-29,15.61,16.66,15.42,16.28,1906900,31044332.000000004
2010-02-01,16.12,16.69,16.12,16.44,1332300,21903012.0
2010-02-02,16.76,16.92,16.18,16.22,1314800,21326056.0
2010-02-03,15.29,15.7,15.29,15.42,2595400,40021068.0
2010-02-04,15.51,16.31,15.48,16.25,1595400,25925250.0
2010-02-05,16.12,16.22,15.64,15.83,988500,15647955.0
2010-02-08,15.8,15.8,15.51,15.55,972500,15122375.0
2010-02-09,15.45,15.77,15.07,15.13,1087700,16456901.0
2010-02-10,15.48,15.61,15.26,15.35,1115600,17124460.0
2010-02-11,15.32,15.77,15.26,15.67,768800,12047096.0
2010-02-12,15.93,15.96,15.67,15.83,433100,6855973.0
2010-02-22,16.34,16.34,15.93,16.06,687500,11041250.0
2010-02-23,15.96,15.96,15.42,15.45,673900,10411755.0
2010-02-24,15.42,15.8,15.32,15.7,836900,13139330.0
2010-02-25,15.7,15.96,15.48,15.64,787800,12321192.0
2010-02-26,15.67,15.74,15.32,15.58,1017500,15852650.0
2010-03-01,15.7,15.96,15.64,15.83,903700,14305571.0
2010-03-02,15.96,16.02,15.7,15.8,976000,15420800.0
2010-03-03,15.86,16.95,15.8,16.95,2938200,49802490.0
2010-03-04,17.08,17.62,16.92,17.08,1959500,33468259.999999996
2010-03-05,17.24,18.03,17.11,17.91,2669600,47812536.0
2010-03-08,18.03,18.51,17.97,18.19,1783100,32434589.000000004
2010-03-09,18.29,18.32,17.88,18.16,2653100,48180296.0
2010-03-10,18.13,18.8,17.81,18.45,3115100,57473595.0
2010-03-11,18.35,18.67,18.35,18.48,1828900,33798072.0
2010-03-12,18.74,18.96,18.67,18.93,1566100,29646273.0
2010-03-15,19.15,19.44,18.19,18.74,1873400,35107516.0
2010-03-16,18.83,18.83,17.72,18.03,3074700,55436841.0
2010-03-17,17.88,18.32,16.98,17.68,3544500,62666760.0
2010-03-18,17.84,18.16,17.24,18.03,2172900,39177387.0
2010-03-19,18.07,18.07,17.68,17.84,1636300,29191592.0
2010-03-22,17.88,17.88,17.43,17.46,1011400,17659044.0
2010-03-23,17.24,17.52,17.11,17.2,1338300,23018760.0
