time,open,high,low,close,volume,amounts
2017-07-07,9.87,9.87,9.87,9.87,114260,1127746.2
2017-07-10,10.56,10.56,9.94,10.3,2677240,27575572.000000004
2017-07-11,10.32,10.32,9.94,10.11,838360,8475819.6
2017-07-12,10.11,10.27,10.04,10.15,376520,3821678.0
2017-07-13,10.13,10.13,9.99,9.99,780690,7799093.100000001
2017-07-14,9.96,10.04,9.82,9.84,605590,5959005.6
2017-07-17,9.92,10.11,9.8,9.98,469140,4682017.2
2017-07-18,9.94,9.98,9.87,9.87,319370,3152181.9
2017-07-19,9.94,9.99,9.86,9.89,279130,2760595.7
2017-07-20,9.91,9.94,9.86,9.91,342050,3389715.5
2017-07-21,9.91,9.94,9.87,9.89,140450,1389050.5
2017-07-24,9.89,9.91,9.89,9.89,282460,2793529.4000000004
2017-07-25,9.86,9.94,9.82,9.86,198020,1952477.2
2017-07-26,9.89,10.2,9.87,10.1,307260,3103326.0
2017-07-27,10.18,10.52,10.1,10.28,438580,4508602.399999999
2017-07-28,10.46,10.52,10.28,10.46,600310,6279242.600000001
2017-07-31,10.37,10.49,10.37,10.46,145430,1521197.8
2017-08-01,10.46,10.46,10.28,10.28,198280,2038318.4
2017-08-02,10.28,10.46,10.25,10.28,530950,5458166.0
2017-08-03,10.3,10.47,10.3,10.46,476970,4989106.2
2017-08-04,10.46,10.46,10.37,10.39,267610,2780467.9000000004
2017-08-07,10.39,10.49,10.39,10.46,447390,4679699.4
2017-08-08,10.46,10.46,10.34,10.37,236400,2451468.0
2017-08-09,10.3,10.44,10.2,10.28,384710,3954818.8
2017-08-10,10.15,10.37,10.13,10.3,172920,1781076.0000000002
2017-08-11,10.27,10.34,10.27,10.3,125740,1295122.0
2017-08-14,10.37,10.37,10.2,10.28,168300,1730124.0
2017-08-15,10.46,10.46,9.94,10.28,145160,1492244.7999999998
2017-08-16,10.11,10.32,10.11,10.28,73300,753524.0
2017-08-17,10.28,10.3,10.2,10.28,190470,1958031.5999999999
2017-08-18,10.27,10.28,10.27,10.28,159680,1641510.4
2017-08-21,10.28,10.35,10.25,10.28,176960,1819148.7999999998
2017-08-22,10.28,10.28,10.23,10.27,71320,732456.4
2017-08-23,10.28,10.28,10.23,10.25,61150,626787.5
2017-08-24,10.27,10.27,10.23,10.27,199860,2052562.2
2017-08-25,10.23,10.27,10.2,10.23,60460,618505.8
2017-08-28,10.2,10.23,10.16,10.16,58920,598627.2
2017-08-29,10.15,10.2,10.11,10.16,49710,505053.60000000003
2017-08-30,10.16,10.16,10.11,10.16,72360,735177.6
2017-08-31,10.16,10.16,10.11,10.15,63060,640059.0
2017-09-01,10.2,10.2,10.15,10.15,19610,199041.5
2017-09-05,10.11,10.13,10.08,10.11,41150,416026.5
2017-09-06,10.08,10.08,9.94,9.94,63080,627015.2
2017-09-07,9.94,9.94,9.86,9.87,174740,1724683.7999999998
2017-09-08,9.99,9.99,9.84,9.84,81480,801763.2
2017-09-11,9.86,9.86,9.46,9.46,95710,905416.6000000001
2017-09-12,9.44,9.63,9.44,9.6,110930,1064928.0
2017-09-13,9.6,9.92,9.56,9.92,109080,1082073.6
2017-09-14,9.77,9.79,9.65,9.65,57710,556901.5
2017-09-15,9.65,9.67,9.51,9.51,170940,1625639.4
2017-09-18,9.51,9.6,9.43,9.6,97640,937344.0
2017-09-19,9.6,9.6,9.51,9.58,131570,1260440.6
2017-09-20,9.6,9.79,9.58,9.68,122020,1181153.5999999999
2017-09-21,9.68,9.68,9.55,9.6,19560,187776.0
2017-09-22,9.6,9.74,9.6,9.68,75900,734712.0
2017-09-25,9.67,9.68,9.53,9.67,23790,230049.3
2017-09-26,9.68,10.01,9.63,9.98,115860,1156282.8
2017-09-27,9.98,10.08,9.91,10.01,162700,1628627.0
2017-09-28,10.08,10.2,10.01,10.1,135840,1371984.0
2017-09-29,10.11,10.25,10.11,10.23,146220,1495830.6
2017-10-02,10.28,10.28,9.98,9.98,32020,319559.60000000003
2017-10-03,10.11,10.11,9.94,9.96,40260,400989.60000000003
2017-10-04,9.94,10.11,9.94,10.11,15340,155087.4
2017-10-05,10.03,10.13,10.03,10.11,34120,344953.19999999995
2017-10-06,10.15,10.15,10.03,10.1,23010,232401.0
2017-10-09,10.11,10.2,10.11,10.13,105800,1071754.0
2017-10-10,10.18,10.18,10.13,10.15,70890,719533.5
2017-10-11,10.16,10.18,10.15,10.18,40670,414020.6
2017-10-12,10.2,10.46,10.2,10.46,489320,5118287.2
2017-10-13,10.54,10.87,10.54,10.8,289190,3123252.0
2017-10-16,11.0,11.31,10.82,11.31,255590,2890722.9
2017-10-17,11.47,11.48,10.97,11.11,164700,1829817.0
2017-10-18,11.14,11.14,10.88,10.88,164000,1784320.0000000002
2017-10-19,11.04,11.04,10.8,11.0,82610,908710.0
2017-10-20,10.95,10.99,10.8,10.94,85110,931103.3999999999
2017-10-23,10.88,10.95,10.8,10.8,97230,1050084.0
2017-10-24,10.63,10.83,10.63,10.83,45500,492765.0
2017-10-25,11.04,11.04,10.83,10.83,71080,769796.4
2017-10-26,10.68,11.12,10.68,10.71,10540,112883.40000000001
2017-10-27,10.71,10.8,10.63,10.8,33230,358884.0
2017-10-30,10.83,10.97,10.64,10.73,85240,914625.2000000001
2017-10-31,10.73,10.88,10.71,10.73,107550,1154011.5
2017-11-01,10.73,10.78,10.71,10.73,45500,488215.0
2017-11-02,10.87,10.87,10.73,10.73,85810,920741.3
2017-11-03,10.73,10.95,10.73,10.73,47140,505812.2
2017-11-06,10.8,11.12,10.75,11.12,76070,845898.3999999999
2017-11-07,11.23,11.23,11.12,11.12,12070,134218.4
2017-11-08,10.82,11.12,10.82,11.11,7040,78214.4
2017-11-09,11.11,11.14,11.06,11.12,109910,1222199.2
2017-11-10,10.82,11.18,10.82,11.14,48250,537505.0
2017-11-13,11.12,11.28,11.12,11.14,72610,808875.4
2017-11-14,11.14,11.91,10.99,11.91,385270,4588565.7
2017-11-15,12.08,12.34,11.69,12.17,140430,1709033.1
2017-11-16,11.76,12.34,11.76,12.34,53800,663892.0
2017-11-17,12.03,12.51,12.02,12.26,193880,2376968.8
2017-11-20,12.02,12.26,12.0,12.26,74840,917538.4
2017-11-21,12.26,12.34,12.08,12.17,96450,1173796.5
2017-11-22,12.17,12.34,12.0,12.34,84430,1041866.2
2017-11-23,12.34,12.34,12.07,12.26,26590,325993.4
2017-11-24,12.26,12.32,12.17,12.17,39360,479011.2
2017-11-27,12.34,12.51,12.1,12.12,242510,2939221.1999999997
2017-11-28,12.14,12.32,12.08,12.17,28250,343802.5
2017-11-29,12.12,12.34,12.0,12.08,62140,750651.2
2017-11-30,12.32,12.32,12.17,12.22,49130,600368.6
2017-12-01,12.2,12.22,12.17,12.17,16590,201900.3
2017-12-04,12.17,12.32,12.17,12.32,45170,556494.4
2017-12-05,12.36,12.86,12.32,12.84,78220,1004344.8
2017-12-06,12.84,12.84,12.51,12.6,80270,1011402.0
2017-12-07,12.51,12.51,12.38,12.5,26560,332000.0
2017-12-08,12.43,12.6,12.43,12.51,103770,1298162.7
2017-12-11,12.08,12.65,12.08,12.26,50600,620356.0
2017-12-12,12.17,12.26,12.08,12.26,17170,210504.19999999998
2017-12-13,12.68,12.68,12.17,12.34,32510,401173.4
2017-12-14,12.34,12.58,12.32,12.32,17620,217078.4
2017-12-15,12.32,12.34,12.19,12.34,52930,653156.2
2017-12-18,12.51,12.51,12.34,12.43,40080,498194.39999999997
2017-12-19,12.5,12.84,12.5,12.84,125620,1612960.8
2017-12-20,12.84,12.84,12.51,12.53,49470,619859.1
2017-12-21,12.53,12.75,12.53,12.55,275070,3452128.5
2017-12-22,12.55,12.55,12.34,12.5,78640,983000.0
2017-12-25,12.86,12.86,12.36,12.43,4060,50465.799999999996
2017-12-26,12.43,12.58,12.43,12.44,8990,111835.59999999999
2017-12-27,12.44,12.63,12.44,12.53,52490,657699.7
2017-12-28,12.68,12.77,12.6,12.7,42870,544449.0
2017-12-29,12.77,13.37,12.7,13.37,130800,1748796.0
2018-01-02,13.37,14.06,13.37,13.82,68220,942800.4
2018-01-03,14.23,14.26,13.88,14.23,90850,1292795.5
2018-01-04,14.23,14.57,14.23,14.55,89260,1298733.0
2018-01-05,14.4,14.4,14.23,14.26,18410,262526.6
2018-01-08,14.24,14.57,14.06,14.48,70280,1017654.4
2018-01-09,14.54,14.54,14.23,14.23,62300,886529.0
2018-01-10,14.07,14.23,13.71,13.97,37420,522757.4
2018-01-11,13.88,13.97,13.68,13.78,44770,616930.6
2018-01-12,13.71,14.06,13.54,13.54,23320,315752.8
2018-01-15,13.54,14.14,13.37,14.14,37820,534774.8
2018-01-16,13.88,14.06,13.73,14.06,7170,100810.2
2018-01-17,13.64,14.14,13.64,13.68,7450,101916.0
2018-01-18,13.46,13.71,13.46,13.71,57370,786542.7000000001
2018-01-19,14.12,14.23,13.54,13.9,119870,1666193.0
2018-01-22,13.92,14.31,13.9,14.19,139000,1972410.0
2018-01-23,14.19,14.19,14.19,14.19,0,0.0
2018-01-24,14.19,14.19,14.19,14.19,0,0.0
2018-01-25,14.57,14.74,14.48,14.72,236670,3483782.4000000004
2018-01-26,14.74,15.26,14.57,14.93,145910,2178436.3
2018-01-29,15.34,15.44,15.08,15.19,117340,1782394.5999999999
2018-01-30,15.19,15.43,15.14,15.43,141700,2186431.0
2018-01-31,15.41,15.6,14.78,15.43,88890,1371572.7
2018-02-01,15.41,15.41,14.91,14.91,45110,672590.1
2018-02-02,14.91,15.08,14.74,14.95,50580,756171.0
2018-02-05,14.95,14.95,14.06,14.06,168970,2375718.2
2018-02-06,13.1,13.54,13.08,13.11,272110,3567362.0999999996
2018-02-07,13.37,13.97,13.37,13.71,257290,3527445.9000000004
2018-02-08,13.71,13.8,13.54,13.71,47560,652047.6000000001
2018-02-09,12.77,13.71,12.77,13.71,117500,1610925.0
2018-02-12,13.97,13.97,13.54,13.71,142090,1948053.9000000001
2018-02-13,13.71,13.75,13.63,13.64,61490,838723.6000000001
2018-02-21,13.63,14.57,13.37,13.88,165030,2290616.4
2018-02-22,14.06,14.4,14.0,14.06,52890,743633.4
2018-02-23,14.4,14.91,14.06,14.06,5810,81688.6
2018-02-26,14.06,14.55,13.94,14.23,119440,1699631.2
2018-02-27,14.23,14.23,14.09,14.23,38930,553973.9
2018-02-28,13.9,14.91,13.9,14.78,243680,3601590.4
2018-03-01,15.15,15.15,14.74,14.91,55220,823330.2
2018-03-02,14.91,15.6,14.57,15.43,170260,2627111.8
2018-03-05,15.43,15.77,15.26,15.53,263310,4089204.3
2018-03-06,15.1,15.46,15.1,15.44,91200,1408128.0
2018-03-07,15.6,15.6,15.43,15.44,51100,788984.0
2018-03-08,15.44,16.28,15.17,15.63,86650,1354339.5
2018-03-09,15.62,15.94,15.46,15.46,57200,884312.0
2018-03-12,15.46,15.77,15.43,15.5,45540,705870.0
2018-03-13,15.43,15.51,15.08,15.51,21580,334705.8
2018-03-14,15.51,15.51,15.2,15.27,180520,2756540.4
2018-03-15,15.22,15.43,15.22,15.27,144490,2206362.3
2018-03-16,15.27,16.34,15.26,16.34,228710,3737121.4
2018-03-19,16.46,17.26,16.46,17.24,163160,2812878.4
2018-03-20,16.63,17.4,16.63,17.24,86090,1484191.5999999999
2018-03-21,17.31,18.34,17.24,17.83,104940,1871080.1999999997
2018-03-22,18.34,18.34,17.83,18.26,195930,3577681.8000000003
2018-03-23,17.16,18.43,17.16,18.32,178710,3273967.2
2018-03-26,18.32,18.68,18.32,18.43,17860,329159.8
2018-03-27,18.51,18.51,18.0,18.0,51350,924300.0
2018-03-28,18.05,18.51,18.05,18.51,28650,530311.5
2018-03-29,18.51,18.51,18.34,18.5,51330,949605.0
2018-03-30,18.51,18.53,18.34,18.51,311980,5774749.800000001
2018-04-02,18.51,19.8,18.51,19.8,388350,7689330.0
2018-04-03,20.57,20.57,19.88,20.06,119770,2402586.1999999997
2018-04-04,20.57,20.57,19.97,20.04,77130,1545685.2
2018-04-05,20.4,20.4,19.99,20.06,60750,1218645.0
2018-04-06,19.88,20.55,19.88,20.23,37510,758827.3
2018-04-09,19.92,20.48,19.88,19.88,52410,1041910.7999999999
2018-04-10,19.73,20.06,19.71,19.71,143720,2832721.2
2018-04-11,19.71,20.14,19.1,19.2,40190,771648.0
2018-04-12,18.68,19.2,18.6,19.2,103180,1981056.0
2018-04-13,19.03,19.54,18.34,18.53,150660,2791729.8000000003
2018-04-16,18.8,18.94,18.48,18.48,130290,2407759.2
2018-04-17,18.48,19.03,18.48,18.72,216970,4061678.4
2018-04-18,18.68,18.86,18.51,18.56,181010,3359545.5999999996
2018-04-19,18.56,18.56,17.93,18.17,203350,3694869.5000000005
2018-04-20,18.03,18.17,17.84,18.02,260920,4701778.399999999
2018-04-23,18.05,18.05,16.76,16.8,220600,3706080.0
2018-04-24,16.8,16.8,15.94,16.28,218100,3550668.0000000005
2018-04-26,16.28,16.46,15.19,15.19,87340,1326694.5999999999
2018-04-27,15.19,15.94,15.15,15.94,146570,2336325.8
2018-05-02,15.94,15.94,15.6,15.6,55060,858936.0
2018-05-03,15.6,15.94,14.74,15.77,303310,4783198.7
2018-05-04,16.11,16.11,15.56,16.01,250050,4003300.5000000005
2018-05-07,16.18,16.46,15.94,16.46,63890,1051629.4000000001
2018-05-08,16.2,17.35,16.2,17.16,153750,2638350.0
2018-05-09,16.8,17.95,16.8,17.66,137090,2421009.4
2018-05-10,17.66,17.66,17.18,17.48,120280,2102494.4
2018-05-11,17.48,17.48,16.46,17.48,155050,2710274.0
2018-05-14,17.83,17.83,17.14,17.4,24920,433607.99999999994
2018-05-15,17.36,17.62,17.14,17.48,55090,962973.2000000001
2018-05-16,17.48,17.48,17.16,17.16,35420,607807.2
2018-05-17,16.88,17.16,16.71,16.71,78360,1309395.6
