time,open,high,low,close,volume,amounts
2015-10-15,6.69,6.81,6.43,6.43,10100,64943.0
2015-10-16,6.43,6.5,6.24,6.43,34900,224407.0
2015-10-19,6.43,6.5,6.43,6.43,33400,214762.0
2015-10-20,6.43,6.5,6.43,6.5,38000,247000.0
2015-10-21,6.43,6.43,6.37,6.37,14200,90454.0
2015-10-22,6.37,6.37,6.31,6.31,16500,104115.0
2015-10-23,6.31,6.31,6.24,6.24,2100,13104.0
2015-10-26,6.18,6.18,6.18,6.18,7100,43878.0
2015-10-27,6.12,6.12,6.12,6.12,4800,29376.0
2015-10-28,5.99,6.18,5.68,6.18,31500,194670.0
2015-10-29,5.74,5.87,5.74,5.87,8100,47547.0
2015-10-30,5.8,5.8,5.61,5.61,5700,31977.000000000004
2015-11-02,5.68,5.68,5.36,5.36,38700,207432.0
2015-11-03,5.55,5.55,5.55,5.55,600,3330.0
2015-11-04,5.36,5.55,5.05,5.55,12000,66600.0
2015-11-05,5.42,5.61,5.42,5.61,4200,23562.0
2015-11-06,5.68,5.68,5.55,5.61,30300,169983.0
2015-11-09,5.55,5.55,5.36,5.36,10600,56816.0
2015-11-10,5.49,5.49,5.42,5.42,3300,17886.0
2015-11-11,5.42,5.42,5.42,5.42,2900,15718.0
2015-11-12,5.42,5.49,5.42,5.49,2700,14823.0
2015-11-13,5.68,5.68,5.55,5.68,500,2840.0
2015-11-16,5.68,5.68,5.68,5.68,0,0.0
2015-11-17,5.68,5.68,5.55,5.55,10300,57165.0
2015-11-18,5.55,5.55,4.73,5.55,5200,28860.0
2015-11-19,5.55,5.55,5.55,5.55,2000,11100.0
2015-11-20,5.55,5.55,5.55,5.55,18900,104895.0
2015-11-23,5.42,5.49,5.42,5.42,11000,59620.0
2015-11-24,5.42,5.42,5.36,5.36,2100,11256.0
2015-11-25,5.17,5.23,5.17,5.17,2300,11891.0
2015-11-26,5.36,5.36,4.86,4.86,6600,32076.000000000004
2015-11-27,5.36,5.36,4.92,4.92,11000,54120.0
2015-11-30,5.42,5.42,5.42,5.42,100,542.0
2015-12-01,5.17,5.17,5.17,5.17,100,517.0
2015-12-02,4.79,5.11,4.79,4.92,10300,50676.0
2015-12-03,5.3,5.3,4.92,4.92,15900,78228.0
2015-12-04,4.92,5.23,4.92,4.92,137900,678468.0
2015-12-07,5.17,5.61,4.92,4.92,30400,149568.0
2015-12-08,5.05,5.05,5.05,5.05,100,505.0
2015-12-09,4.86,5.17,4.86,4.92,11300,55596.0
2015-12-10,4.98,4.98,4.92,4.92,18200,89544.0
2015-12-11,4.92,4.92,4.86,4.92,5700,28044.0
2015-12-14,4.98,4.98,4.98,4.98,2000,9960.0
2015-12-15,4.79,5.05,4.79,5.05,2500,12625.0
2015-12-16,5.05,5.17,4.79,4.79,7700,36883.0
2015-12-17,5.17,5.17,5.17,5.17,100,517.0
2015-12-18,5.17,5.17,5.17,5.17,0,0.0
2015-12-21,5.05,5.05,5.05,5.05,1000,5050.0
2015-12-22,5.05,5.05,5.05,5.05,0,0.0
2015-12-23,5.05,5.05,5.05,5.05,11100,56055.0
2015-12-24,5.05,5.11,5.05,5.11,4100,20951.0
2015-12-25,5.05,5.05,5.05,5.05,1000,5050.0
2015-12-28,4.92,4.92,4.92,4.92,1000,4920.0
2015-12-29,5.05,5.05,5.05,5.05,100,505.0
2015-12-30,5.55,5.55,5.55,5.55,100,555.0
2015-12-31,5.05,5.05,5.05,5.05,6400,32320.0
2016-01-04,5.8,5.8,5.61,5.61,1100,6171.0
2016-01-05,5.05,5.05,5.05,5.05,100,505.0
2016-01-06,4.98,5.05,4.98,5.05,7700,38885.0
2016-01-07,5.55,5.55,4.92,4.92,1500,7380.0
2016-01-08,4.92,4.92,4.73,4.73,21800,103114.00000000001
2016-01-11,4.73,4.73,4.73,4.73,0,0.0
2016-01-12,5.3,5.3,5.3,5.3,100,530.0
2016-01-13,4.98,4.98,4.73,4.73,10100,47773.00000000001
2016-01-14,4.98,4.98,4.98,4.98,100,498.00000000000006
2016-01-15,4.98,4.98,4.98,4.98,0,0.0
2016-01-18,4.98,4.98,4.98,4.98,0,0.0
2016-01-19,5.05,5.05,4.41,4.41,8500,37485.0
2016-01-20,4.41,4.41,4.41,4.41,0,0.0
2016-01-21,4.41,4.41,4.41,4.41,0,0.0
2016-01-22,4.41,4.41,4.41,4.41,0,0.0
2016-01-25,4.73,4.73,4.73,4.73,1000,4730.0
2016-01-26,4.98,4.98,4.98,4.98,100,498.00000000000006
2016-01-27,4.98,4.98,4.98,4.98,0,0.0
2016-01-28,4.98,4.98,4.86,4.86,1200,5832.0
2016-01-29,4.86,4.86,4.86,4.86,2000,9720.0
2016-02-01,4.79,4.98,4.79,4.98,17000,84660.0
2016-02-02,4.86,4.86,4.79,4.86,17700,86022.0
2016-02-03,4.86,4.98,4.86,4.98,13800,68724.0
2016-02-04,4.98,5.05,4.98,5.05,3000,15150.0
2016-02-05,5.61,5.68,5.61,5.68,300,1704.0
2016-02-15,5.23,5.23,5.05,5.05,1300,6565.0
2016-02-16,5.05,5.05,5.05,5.05,0,0.0
2016-02-17,5.17,5.17,5.17,5.17,7000,36190.0
2016-02-18,5.17,5.17,5.17,5.17,0,0.0
2016-02-19,5.11,5.3,5.11,5.3,6800,36040.0
2016-02-22,5.17,5.17,5.17,5.17,1000,5170.0
2016-02-23,5.17,5.17,5.17,5.17,39500,204215.0
2016-02-24,5.17,5.17,5.17,5.17,0,0.0
2016-02-25,4.92,4.92,4.73,4.79,12300,58917.0
2016-02-26,4.79,4.79,4.79,4.79,0,0.0
2016-02-29,4.79,4.79,4.79,4.79,0,0.0
2016-03-01,4.73,4.73,4.73,4.73,2900,13717.000000000002
2016-03-02,5.17,5.17,5.05,5.05,10800,54540.0
2016-03-03,5.11,5.23,5.11,5.23,7900,41317.0
2016-03-04,5.23,5.93,5.23,5.93,28300,167819.0
2016-03-07,5.99,6.24,5.8,5.8,7500,43500.0
2016-03-08,5.93,5.99,5.8,5.93,19700,116821.0
2016-03-09,5.93,5.93,5.68,5.93,10600,62858.0
2016-03-10,5.8,5.99,5.8,5.99,28700,171913.0
2016-03-11,5.99,6.24,5.93,5.93,13000,77090.0
2016-03-14,6.12,6.12,6.12,6.12,21800,133416.0
2016-03-15,6.12,6.12,5.87,6.05,37600,227480.0
2016-03-16,5.99,5.99,5.93,5.99,15400,92246.0
2016-03-17,6.31,6.37,6.05,6.31,40800,257447.99999999997
2016-03-18,6.37,6.5,6.37,6.5,6600,42900.0
2016-03-21,6.43,6.56,6.31,6.5,24400,158600.0
2016-03-22,6.5,6.5,6.31,6.43,23500,151105.0
2016-03-23,6.5,7.32,6.5,7.32,188400,1379088.0
2016-03-24,8.2,8.26,8.2,8.26,341300,2819138.0
2016-03-25,9.08,9.46,9.08,9.46,566700,5360982.000000001
2016-03-28,9.59,10.41,8.51,10.09,239300,2414537.0
2016-03-29,10.28,10.41,10.09,10.41,264290,2751258.9
2016-03-30,10.47,11.79,10.47,10.6,304900,3231940.0
2016-03-31,10.53,11.04,9.65,9.65,348500,3363025.0
2016-04-01,8.58,9.33,8.58,8.7,366800,3191159.9999999995
2016-04-04,7.69,9.14,7.57,8.64,118100,1020384.0000000001
2016-04-05,8.58,8.89,8.33,8.89,173000,1537970.0
2016-04-06,8.83,9.78,8.83,9.65,460000,4439000.0
2016-04-07,9.78,10.28,9.65,9.84,487500,4797000.0
2016-04-08,9.84,9.84,9.33,9.52,306400,2916928.0
2016-04-11,9.78,9.84,9.4,9.52,544400,5182688.0
2016-04-12,9.65,9.65,9.08,9.14,380400,3476856.0
2016-04-13,9.21,9.65,9.21,9.46,424400,4014824.0000000005
2016-04-14,9.4,9.4,9.21,9.27,112100,1039167.0
2016-04-15,9.27,9.33,9.08,9.08,162300,1473684.0
2016-04-19,9.14,9.21,8.39,8.51,311600,2651716.0
2016-04-20,8.51,8.64,8.39,8.58,186100,1596738.0
2016-04-21,8.45,8.83,8.45,8.58,111000,952380.0
2016-04-22,8.33,8.51,8.2,8.39,157900,1324781.0
2016-04-25,8.45,8.45,7.82,7.95,223950,1780402.5
2016-04-26,8.14,8.96,7.88,8.45,237500,2006874.9999999998
2016-04-27,8.51,9.4,8.45,8.83,249200,2200436.0
2016-04-28,8.89,9.02,8.58,8.7,132580,1153446.0
2016-04-29,8.58,8.64,8.51,8.58,130900,1123122.0
2016-05-04,8.58,8.58,8.2,8.33,199100,1658503.0
2016-05-05,8.2,8.26,7.88,7.95,216700,1722765.0
2016-05-06,7.88,8.14,7.82,7.95,138950,1104652.5
2016-05-09,8.14,8.14,7.57,7.95,127800,1016010.0
2016-05-10,7.95,7.95,7.69,7.76,80300,623128.0
2016-05-11,7.76,8.01,7.69,7.95,74700,593865.0
2016-05-12,8.01,8.51,8.01,8.33,154100,1283653.0
2016-05-13,8.2,8.64,8.2,8.39,244400,2050516.0000000002
2016-05-16,8.39,8.51,8.26,8.26,56000,462560.0
2016-05-17,8.07,8.2,7.95,8.14,152400,1240536.0
2016-05-18,7.95,8.33,7.95,8.07,85900,693213.0
2016-05-19,8.07,8.2,8.07,8.14,94900,772486.0
2016-05-20,8.14,8.83,8.14,8.58,445400,3821532.0
2016-05-23,8.51,8.7,8.45,8.51,83100,707181.0
2016-05-24,8.39,8.51,8.39,8.51,42800,364228.0
2016-05-25,8.33,8.45,8.2,8.33,181000,1507730.0
2016-05-26,8.33,8.58,8.33,8.39,117800,988342.0000000001
2016-05-27,8.33,8.58,8.33,8.58,82300,706134.0
2016-05-30,8.58,9.02,8.51,8.83,392600,3466658.0
2016-05-31,8.83,8.83,8.58,8.64,105400,910656.0000000001
2016-06-01,8.58,8.77,8.58,8.77,120400,1055908.0
2016-06-02,8.7,9.52,8.7,9.52,963500,9172520.0
2016-06-03,9.52,9.84,9.52,9.59,609280,5842995.2
2016-06-06,9.65,9.65,9.27,9.27,251800,2334186.0
2016-06-07,9.27,9.33,9.14,9.33,365700,3411981.0
2016-06-08,9.27,10.09,9.27,9.78,1096220,10721031.6
2016-06-09,9.84,10.22,9.78,10.22,752020,7685644.4
2016-06-10,10.22,10.6,10.03,10.22,761000,7777420.000000001
2016-06-13,10.28,10.28,9.71,9.78,338100,3306618.0
2016-06-14,9.78,9.96,9.59,9.9,325120,3218688.0
2016-06-15,9.9,10.28,9.9,10.22,428940,4383766.8
2016-06-16,10.22,10.41,9.84,9.96,420000,4183200.0000000005
2016-06-17,9.96,10.03,9.52,9.71,296400,2878044.0000000005
2016-06-20,9.71,9.71,9.33,9.46,506100,4787706.0
2016-06-21,9.33,9.78,9.33,9.52,323000,3074960.0
2016-06-22,9.52,9.52,9.14,9.21,378170,3482945.7
2016-06-23,9.21,9.27,9.08,9.21,223040,2054198.4000000001
2016-06-24,9.08,9.08,8.07,8.58,905060,7765414.8
2016-06-27,8.51,8.51,7.95,8.33,341750,2846777.5
2016-06-28,8.26,8.7,8.26,8.51,202810,1725913.0999999999
2016-06-29,8.51,8.64,8.26,8.45,275700,2329665.0
2016-06-30,8.45,8.7,8.45,8.51,224600,1911346.0
2016-07-01,8.45,8.51,8.39,8.45,248800,2102360.0
2016-07-04,8.58,8.77,8.51,8.58,165300,1418274.0
