time,open,high,low,close,volume,amounts
2010-01-04,5.4,5.4,5.15,5.4,3020,16308.000000000002
2010-01-05,5.45,5.45,5.3,5.3,3730,19769.0
2010-01-06,5.06,5.4,5.06,5.06,39250,198604.99999999997
2010-01-07,5.3,5.3,5.15,5.3,88550,469315.0
2010-01-08,5.4,5.4,5.15,5.3,53680,284504.0
2010-01-11,5.25,5.25,5.25,5.25,1010,5302.5
2010-01-12,5.1,5.15,5.01,5.1,15220,77622.0
2010-01-13,4.91,4.91,4.85,4.91,16610,81555.1
2010-01-14,4.9,4.91,4.76,4.9,7100,34790.0
2010-01-15,4.9,4.91,4.86,4.89,1520,7432.799999999999
2010-01-18,4.91,4.91,4.81,4.85,50210,243518.49999999997
2010-01-19,4.84,4.84,4.79,4.84,28860,139682.4
2010-01-20,4.83,4.89,4.61,4.83,14020,67716.6
2010-01-21,4.81,4.81,4.71,4.81,40230,193506.3
2010-01-22,4.61,4.82,4.61,4.82,8690,41885.8
2010-01-25,4.9,4.9,4.9,4.9,1110,5439.0
2010-01-26,4.9,4.9,4.9,4.9,3420,16758.0
2010-01-27,4.9,4.9,4.9,4.9,2000,9800.0
2010-01-28,4.86,4.86,4.85,4.85,1250,6062.5
2010-01-29,4.8,4.8,4.8,4.8,2650,12720.0
2010-02-01,4.61,4.84,4.61,4.61,1100,5071.0
2010-02-02,4.65,4.8,4.52,4.65,10410,48406.50000000001
2010-02-03,4.71,4.88,4.71,4.71,16000,75360.0
2010-02-04,4.76,4.76,4.71,4.76,2890,13756.4
2010-02-05,4.71,4.71,4.56,4.71,3090,14553.9
2010-02-08,4.81,4.81,4.52,4.81,7420,35690.2
2010-02-09,4.61,4.61,4.61,4.61,20,92.2
2010-02-10,4.8,4.81,4.8,4.8,11200,53760.0
2010-02-11,4.86,4.86,4.86,4.86,1050,5103.0
2010-02-12,4.67,4.76,4.67,4.72,610,2879.2
2010-02-22,4.73,4.73,4.73,4.73,100,473.00000000000006
2010-02-23,4.5,4.5,4.5,4.5,400,1800.0
2010-02-24,4.71,4.71,4.71,4.71,20,94.2
