time,open,high,low,close,volume,amounts
2017-01-09,3.1,3.1,2.22,2.41,346000,833860.0
2017-01-10,2.49,2.49,2.41,2.44,234947,573270.6799999999
2017-01-11,2.44,2.44,2.39,2.41,173442,417995.22000000003
2017-01-12,2.35,2.35,2.19,2.19,52349,114644.31
2017-01-13,2.13,2.13,1.97,1.98,70740,140065.2
2017-01-16,2.01,2.01,1.94,1.99,134435,267525.65
2017-01-17,1.96,2.05,1.96,2.05,40175,82358.75
2017-01-18,2.05,2.06,2.02,2.06,20408,42040.48
2017-01-19,2.05,2.09,2.03,2.09,73089,152756.00999999998
2017-01-20,2.06,2.15,2.06,2.07,52135,107919.45
2017-01-23,2.15,2.2,2.11,2.11,42247,89141.17
2017-01-24,2.18,2.22,2.18,2.22,63225,140359.5
2017-01-25,2.2,2.2,2.2,2.2,1610,3542.0000000000005
2017-02-02,2.2,2.2,2.1,2.13,9810,20895.3
2017-02-03,2.1,2.2,2.1,2.18,7890,17200.2
2017-02-06,2.16,2.16,2.15,2.15,75013,161277.94999999998
2017-02-07,2.15,2.15,2.15,2.15,23900,51385.0
2017-02-08,2.15,2.15,2.13,2.13,11454,24397.02
2017-02-09,2.15,2.19,2.14,2.14,27845,59588.3
2017-02-10,2.15,2.2,2.15,2.2,12638,27803.600000000002
2017-02-13,2.14,2.19,2.14,2.19,24240,53085.6
2017-02-14,2.16,2.18,2.16,2.16,17715,38264.4
2017-02-15,2.15,2.22,2.15,2.18,53610,116869.8
2017-02-16,2.2,2.24,2.2,2.22,62280,138261.6
2017-02-17,2.19,2.19,2.19,2.19,1540,3372.6
2017-02-20,2.19,2.24,2.19,2.2,20599,45317.8
2017-02-21,2.2,2.22,2.19,2.22,12750,28305.000000000004
2017-02-22,2.22,2.23,2.2,2.2,41019,90241.8
2017-02-23,2.22,2.22,2.19,2.19,60220,131881.8
2017-02-24,2.22,2.22,2.2,2.22,30064,66742.08
2017-02-27,2.22,2.22,2.2,2.22,16720,37118.4
2017-02-28,2.2,2.24,2.2,2.23,13447,29986.81
2017-03-01,2.23,2.28,2.23,2.26,8158,18437.079999999998
2017-03-02,2.29,2.39,2.27,2.28,17246,39320.88
2017-03-03,2.29,2.31,2.29,2.31,13301,30725.31
2017-03-06,2.31,2.31,2.28,2.28,20752,47314.56
2017-03-07,2.24,2.31,2.24,2.29,15280,34991.2
