time,open,high,low,close,volume,amounts
2010-01-04,8.44,8.8,8.44,8.8,28450,250360.00000000003
2010-01-05,9.16,9.16,8.89,8.93,81630,728955.9
2010-01-06,8.62,8.98,8.62,8.75,26740,233975.0
2010-01-07,8.75,8.75,8.44,8.75,30400,266000.0
2010-01-08,8.66,8.89,8.53,8.71,30710,267484.10000000003
2010-01-11,8.53,8.75,8.44,8.71,28680,249802.80000000002
2010-01-12,8.53,8.75,8.44,8.62,25460,219465.19999999998
2010-01-13,8.31,8.75,8.31,8.75,20390,178412.5
2010-01-14,8.75,8.75,8.62,8.75,44660,390775.0
2010-01-15,8.53,8.71,8.53,8.71,46940,408847.4
2010-01-18,8.53,8.62,8.35,8.57,33990,291294.3
2010-01-19,8.31,8.71,8.31,8.62,19960,172055.19999999998
2010-01-20,8.62,8.66,8.44,8.62,19680,169641.59999999998
2010-01-21,8.31,8.62,8.31,8.62,26680,229981.59999999998
2010-01-22,8.53,8.66,8.26,8.66,70700,612262.0
2010-01-25,8.48,8.62,8.48,8.62,13630,117490.59999999999
2010-01-26,8.62,8.66,8.53,8.62,35750,308165.0
2010-01-27,8.71,8.71,8.53,8.62,32600,281012.0
2010-01-28,8.75,8.75,8.22,8.66,23600,204376.0
2010-01-29,8.53,8.53,8.35,8.53,18870,160961.09999999998
2010-02-01,8.4,8.53,8.4,8.53,36180,308615.39999999997
2010-02-02,8.53,8.8,8.48,8.66,30660,265515.6
2010-02-03,8.48,8.89,8.48,8.8,96530,849464.0000000001
2010-02-04,8.71,9.07,8.71,8.93,163390,1459072.7
2010-02-05,8.71,8.89,8.53,8.62,139900,1205938.0
2010-02-08,8.44,8.71,8.35,8.62,94980,818727.6
2010-02-09,8.35,8.53,8.35,8.53,103160,879954.7999999999
2010-02-10,8.53,8.62,8.4,8.62,74660,643569.2
2010-02-11,8.66,8.71,8.62,8.71,45850,399353.50000000006
2010-02-12,8.71,8.84,8.71,8.8,89470,787336.0000000001
2010-02-22,8.8,8.89,8.66,8.89,71740,637768.6000000001
2010-02-23,8.8,8.89,8.48,8.75,84430,738762.5
2010-02-24,8.44,8.75,8.4,8.48,175340,1486883.2000000002
2010-02-25,8.71,8.8,8.35,8.35,249890,2086581.5
2010-02-26,8.26,8.26,7.99,8.04,337300,2711891.9999999995
2010-03-01,8.04,8.35,8.04,8.08,155190,1253935.2
2010-03-02,7.99,8.08,7.95,7.99,128120,1023678.8
2010-03-03,8.08,8.22,7.99,7.99,119700,956403.0
2010-03-04,8.13,8.22,8.08,8.17,65980,539056.6
2010-03-05,8.13,8.17,7.99,8.08,108370,875629.6
2010-03-08,8.17,8.26,8.04,8.08,95640,772771.2
2010-03-09,8.08,8.13,8.04,8.13,105060,854137.8
2010-03-10,8.13,8.17,8.08,8.08,90660,732532.8
2010-03-11,7.99,8.08,7.99,7.99,95590,763764.1
2010-03-12,8.08,8.26,8.08,8.17,101600,830072.0
2010-03-15,8.17,8.31,8.17,8.26,113160,934701.6
2010-03-16,8.22,8.31,8.08,8.08,98240,793779.2
2010-03-17,8.08,8.08,7.99,7.99,102440,818495.6
2010-03-18,8.08,8.08,7.9,7.99,120250,960797.5
2010-03-19,7.99,7.99,7.86,7.9,163290,1289991.0
2010-03-22,7.9,8.04,7.81,7.9,52690,416251.0
2010-03-23,7.9,7.99,7.81,7.95,57060,453627.0
2010-03-24,7.95,8.04,7.9,7.99,58040,463739.60000000003
2010-03-25,7.86,8.08,7.81,7.99,97320,777586.8
2010-03-26,8.04,8.08,7.95,8.04,130170,1046566.7999999999
2010-03-29,8.04,8.13,8.04,8.08,98450,795476.0
2010-03-30,8.04,8.17,8.04,8.13,68720,558693.6000000001
2010-03-31,8.04,8.13,8.04,8.04,135820,1091992.7999999998
2010-04-01,8.08,8.22,8.08,8.22,195460,1606681.2000000002
2010-04-02,8.35,8.35,8.26,8.35,161500,1348525.0
2010-04-05,8.62,8.75,8.53,8.66,181240,1569538.4000000001
2010-04-06,8.66,8.8,8.66,8.66,168710,1461028.6
2010-04-07,8.71,8.71,8.57,8.66,135370,1172304.2
2010-04-08,8.71,8.71,8.62,8.71,174960,1523901.6
2010-04-09,8.71,8.75,8.66,8.71,129220,1125506.2000000002
2010-04-12,8.71,8.75,8.62,8.71,137590,1198408.9000000001
2010-04-13,8.66,8.8,8.66,8.71,70380,613009.8
2010-04-14,8.57,8.71,8.57,8.57,71170,609926.9
2010-04-15,8.71,8.98,8.71,8.98,159470,1432040.6
2010-04-16,8.98,9.07,8.89,8.98,75910,681671.8
2010-04-19,8.75,8.98,8.75,8.75,86200,754250.0
2010-04-20,8.57,8.89,8.57,8.89,128820,1145209.8
2010-04-21,8.93,9.07,8.89,8.98,223690,2008736.2000000002
2010-04-22,9.34,9.43,9.25,9.43,143480,1353016.4
2010-04-26,9.79,9.88,9.61,9.79,114920,1125066.7999999998
2010-04-27,9.79,10.06,9.79,9.97,139560,1391413.2000000002
2010-04-28,9.97,10.15,9.7,9.97,128870,1284833.9000000001
2010-04-29,10.06,10.15,9.97,10.15,84380,856457.0
2010-05-04,10.59,10.59,10.59,10.59,52610,557139.9
2010-05-05,10.95,11.04,10.77,10.95,206200,2257890.0
2010-05-06,10.68,10.95,10.59,10.68,256370,2738031.6
2010-05-07,11.14,11.14,10.83,10.98,316080,3470558.4
2010-05-10,11.46,11.46,10.83,10.83,265800,2878614.0
2010-05-11,10.98,10.98,10.59,10.83,268990,2913161.7
2010-05-12,10.67,10.67,10.35,10.35,256220,2651877.0
2010-05-13,10.35,10.51,10.19,10.27,193870,1991044.9
2010-05-14,10.27,10.51,10.19,10.35,164120,1698642.0
2010-05-17,10.51,10.51,9.87,10.03,165670,1661670.0999999999
2010-05-18,10.11,10.19,9.71,10.11,114290,1155471.9
2010-05-19,9.95,10.19,9.63,9.63,172960,1665604.8
2010-05-20,9.15,9.71,9.15,9.63,149850,1443055.5000000002
2010-05-21,9.15,9.55,9.15,9.47,121700,1152499.0
2010-05-24,9.79,9.79,9.47,9.79,100590,984776.0999999999
2010-05-25,10.03,10.19,9.71,9.87,224980,2220552.5999999996
2010-05-26,10.03,10.19,9.95,10.03,126060,1264381.7999999998
2010-05-27,10.35,10.35,9.87,10.19,140040,1427007.5999999999
2010-05-28,10.67,10.67,10.43,10.59,129880,1375429.2
2010-05-31,10.59,10.67,10.35,10.43,85620,893016.6
2010-06-01,10.19,10.51,10.11,10.27,190970,1961261.9
2010-06-02,10.19,10.59,9.95,10.59,159120,1685080.8
2010-06-03,10.91,10.91,10.67,10.75,130200,1399650.0
2010-06-04,10.67,10.83,10.59,10.67,166380,1775274.6
2010-06-07,10.35,10.51,10.27,10.27,175470,1802076.9
2010-06-08,9.87,10.35,9.87,10.03,148800,1492464.0
2010-06-09,10.03,10.43,9.79,9.95,215330,2142533.5
2010-06-10,9.87,10.35,9.87,10.27,152500,1566175.0
2010-06-11,10.27,10.59,10.27,10.51,144970,1523634.7
2010-06-14,10.51,10.67,10.51,10.59,184100,1949619.0
2010-06-15,10.51,10.67,10.43,10.51,165070,1734885.7
2010-06-16,10.35,10.51,10.27,10.35,212060,2194821.0
2010-06-17,10.19,10.35,10.11,10.35,96250,996187.5
2010-06-18,10.51,10.51,10.35,10.51,160060,1682230.5999999999
2010-06-21,10.75,10.83,10.51,10.67,281680,3005525.6
2010-06-22,10.51,10.91,10.51,10.91,210430,2295791.3
2010-06-23,10.83,10.91,10.75,10.91,105830,1154605.3
2010-06-24,10.83,10.98,10.75,10.75,147460,1585195.0
2010-06-25,10.67,10.83,10.51,10.51,229300,2409943.0
2010-06-28,10.75,10.83,10.51,10.75,119190,1281292.5
2010-06-29,10.98,10.98,10.75,10.98,137180,1506236.4000000001
2010-06-30,10.75,11.06,10.67,11.06,187370,2072312.2000000002
2010-07-01,11.06,11.06,10.83,10.91,186030,2029587.3
2010-07-02,10.91,10.91,10.83,10.91,139070,1517253.7
2010-07-05,10.91,11.22,10.91,11.22,184310,2067958.2000000002
2010-07-06,11.22,11.22,11.06,11.22,152510,1711162.2000000002
2010-07-07,11.22,11.38,11.06,11.06,101480,1122368.8
2010-07-08,11.14,11.22,11.06,11.06,126410,1398094.6
2010-07-09,11.06,11.22,11.06,11.06,23090,255375.40000000002
2010-07-12,11.14,11.14,10.75,10.91,133160,1452775.6
2010-07-13,10.91,11.06,10.83,11.06,136290,1507367.4000000001
2010-07-14,11.3,11.3,10.91,10.91,141580,1544637.8
2010-07-15,10.91,11.14,10.75,10.75,132090,1419967.5
2010-07-16,10.75,11.06,10.67,10.75,103720,1114990.0
2010-07-19,10.67,10.98,10.67,10.98,116870,1283232.6
2010-07-20,10.83,10.98,10.75,10.75,98090,1054467.5
2010-07-21,10.98,10.98,10.83,10.98,29610,325117.8
2010-07-22,10.75,10.91,10.75,10.91,75160,819995.6
2010-07-23,10.91,11.06,10.91,10.98,79570,873678.6
2010-07-26,10.83,11.06,10.83,10.83,90350,978490.5
2010-07-27,10.83,10.98,10.83,10.98,105180,1154876.4000000001
2010-07-28,10.98,10.98,10.75,10.83,116950,1266568.5
2010-07-29,10.83,10.83,10.75,10.75,92660,996095.0
2010-07-30,10.83,10.91,10.67,10.83,83390,903113.7
2010-08-02,10.98,10.98,10.67,10.91,69950,763154.5
2010-08-03,10.83,11.06,10.83,10.83,127240,1378009.2
2010-08-04,10.91,10.91,10.75,10.83,65650,710989.5
2010-08-05,10.91,10.91,10.75,10.83,109720,1188267.6
2010-08-06,10.91,10.91,10.67,10.83,70650,765139.5
2010-08-09,10.91,10.91,10.67,10.83,71090,769904.7
2010-08-10,10.75,10.75,10.59,10.67,129620,1383045.4
2010-08-11,10.67,10.83,10.51,10.83,98620,1068054.6
2010-08-12,10.83,10.83,10.51,10.59,123390,1306700.1
2010-08-13,10.59,10.67,10.51,10.67,141490,1509698.3
2010-08-16,10.67,10.67,10.67,10.67,80080,854453.6
2010-08-17,10.67,10.67,10.59,10.67,84010,896386.7
2010-08-18,10.67,10.67,10.27,10.43,99710,1039975.2999999999
2010-08-19,10.35,10.59,10.27,10.35,83370,862879.5
2010-08-20,10.51,10.59,9.95,10.43,47520,495633.6
2010-08-23,10.43,10.51,10.35,10.43,55680,580742.4
2010-08-24,10.51,10.51,9.95,9.95,79650,792517.5
2010-08-25,9.55,10.19,9.47,9.55,77450,739647.5
2010-08-26,9.31,9.87,9.31,9.71,98860,959930.6000000001
2010-08-27,9.71,9.79,9.55,9.71,83900,814669.0000000001
2010-08-30,9.79,9.87,9.79,9.87,131600,1298892.0
2010-08-31,10.03,10.11,9.95,10.03,383410,3845602.3
2010-09-01,10.03,10.03,9.87,10.03,70650,708619.5
2010-09-06,10.03,10.27,9.95,10.03,146690,1471300.7
2010-09-07,10.03,10.11,9.79,9.79,168790,1652454.0999999999
2010-09-08,9.87,9.87,9.47,9.47,128020,1212349.4000000001
2010-09-09,9.55,9.87,9.55,9.87,105610,1042370.7
2010-09-10,10.19,10.19,9.63,9.63,83060,799867.8
2010-09-13,9.63,9.79,9.39,9.63,48530,467343.9
2010-09-14,9.47,9.63,9.15,9.23,341010,3147522.3000000003
2010-09-15,9.23,9.23,8.84,8.92,252500,2252300.0
2010-09-16,8.6,9.07,8.52,8.99,485630,4365813.7
2010-09-17,8.68,9.15,8.68,9.07,266140,2413889.8000000003
2010-09-20,8.84,9.31,8.84,9.15,307750,2815912.5
2010-09-21,9.23,9.23,8.76,8.76,623660,5463261.6
2010-09-22,8.76,8.92,8.52,8.76,254520,2229595.1999999997
2010-09-23,8.6,8.84,8.6,8.84,169830,1501297.2
2010-09-24,8.84,8.99,8.76,8.99,78260,703557.4
2010-09-27,9.15,9.15,8.92,9.15,129040,1180716.0
