time,open,high,low,close,volume,amounts
2017-02-28,60.7,60.7,60.7,60.7,12030,730221.0
2017-03-01,64.92,64.92,64.92,64.92,99100,6433572.0
2017-03-02,69.42,69.42,69.42,69.42,190550,13227981.0
2017-03-03,74.25,74.25,69.42,74.25,2750050,204191212.5
2017-03-06,75.32,77.57,74.25,77.23,1155300,89223819.0
2017-03-07,77.23,77.28,73.12,74.47,901520,67136194.4
2017-03-08,73.12,74.47,71.1,73.07,916200,66946733.99999999
2017-03-09,72.34,73.63,72.34,73.41,635920,46682887.199999996
2017-03-10,73.41,73.63,72.39,73.63,436480,32138022.4
2017-03-13,73.91,74.14,73.24,73.63,566660,41723175.8
2017-03-14,73.29,73.52,72.79,72.79,410150,29854818.500000004
2017-03-15,72.51,72.79,68.01,68.29,662540,45244856.6
2017-03-16,68.29,68.57,65.48,65.48,477810,31286998.8
2017-03-17,64.97,68.01,63.51,66.04,496260,32773010.400000002
2017-03-20,67.45,70.65,66.6,70.65,307470,21722755.5
2017-03-21,70.65,72.96,70.48,70.48,348100,24534088.0
2017-03-22,70.26,70.76,69.36,70.26,380360,26724093.6
2017-03-23,70.26,71.66,70.09,70.82,402040,28472472.799999997
2017-03-24,71.38,72.45,71.38,71.94,557630,40115902.199999996
2017-03-27,72.23,73.63,72.23,73.01,454930,33214439.3
2017-03-28,73.63,75.15,73.07,73.57,475680,34995777.599999994
2017-03-29,74.14,74.14,73.07,74.02,426200,31547324.0
2017-03-30,74.19,74.19,71.94,71.94,363980,26184721.2
2017-03-31,73.01,73.01,71.94,72.0,318710,22947120.0
2017-04-03,71.94,72.79,70.71,70.71,282490,19974867.9
2017-04-04,72.51,73.01,70.88,71.94,459220,33036286.8
2017-04-05,71.55,73.12,71.1,72.34,596140,43124767.6
2017-04-07,72.56,72.62,72.34,72.56,350370,25422847.2
2017-04-10,72.56,73.91,72.45,73.52,765530,56281765.599999994
2017-04-11,73.63,74.19,73.57,74.08,206460,15294556.799999999
2017-04-12,73.69,75.65,73.69,75.37,458390,34548854.300000004
2017-04-13,75.32,75.54,75.2,75.43,278260,20989151.8
2017-04-14,75.49,75.54,73.63,74.87,335130,25091183.1
2017-04-17,73.91,75.2,73.07,74.02,227200,16817344.0
2017-04-18,73.12,74.08,71.94,72.51,263970,19140464.700000003
2017-04-19,72.51,73.91,71.89,73.86,255600,18878616.0
2017-04-20,73.86,74.08,72.79,73.97,313760,23208827.2
2017-04-21,74.14,74.14,73.46,73.86,218910,16168692.6
2017-04-24,73.86,74.08,72.73,72.73,229020,16656624.600000001
2017-04-25,72.73,72.73,71.66,71.94,212370,15277897.799999999
2017-04-26,71.94,72.68,71.94,72.62,204330,14838444.600000001
2017-04-27,73.63,73.63,72.0,72.0,229050,16491600.0
2017-04-28,72.73,72.73,71.66,71.78,225640,16196439.200000001
2017-05-03,72.34,72.34,71.72,71.89,244220,17556975.8
2017-05-04,71.89,73.07,71.89,73.07,251660,18388796.2
2017-05-05,73.18,73.18,72.23,72.96,234430,17104012.799999997
2017-05-08,73.01,73.01,72.51,72.84,244970,17843614.8
2017-05-09,73.07,73.35,72.5,72.96,292990,21376550.4
2017-05-10,72.96,73.92,72.73,73.92,421080,31126233.6
2017-05-11,73.75,74.09,73.47,73.86,425720,31443679.2
2017-05-12,73.64,74.09,73.35,73.64,329590,24271007.6
2017-05-15,73.07,73.58,72.5,72.79,342370,24921112.3
2017-05-16,72.79,72.79,71.94,72.5,381790,27679775.0
2017-05-17,72.62,72.9,71.6,72.5,361550,26212375.0
2017-05-18,72.5,72.5,71.6,71.94,233910,16827485.4
2017-05-19,71.94,72.39,71.6,72.39,347600,25162764.0
2017-05-22,71.65,73.07,71.65,72.73,239240,17399925.2
2017-05-23,71.94,72.67,71.94,72.39,270840,19606107.6
2017-05-24,72.39,72.39,71.88,71.94,274860,19773428.4
2017-05-25,71.94,71.99,71.14,71.37,291450,20800786.5
2017-05-26,71.43,71.94,71.43,71.82,303420,21791624.4
2017-05-29,71.65,72.39,71.65,72.39,233250,16884967.5
2017-05-30,72.39,72.39,71.94,72.22,232230,16771650.6
2017-05-31,72.16,72.39,72.05,72.39,291420,21095893.8
2017-06-01,72.39,73.64,72.28,73.64,312300,22997772.0
2017-06-02,74.2,75.28,73.98,74.2,510930,37911006.0
2017-06-05,74.2,74.2,73.35,73.64,312740,23030173.6
2017-06-06,73.64,74.2,73.52,73.69,344530,25388415.7
2017-06-07,73.69,73.92,71.94,72.22,426910,30831440.2
2017-06-08,73.35,73.47,72.45,72.45,357620,25909569.0
2017-06-09,72.9,72.9,71.65,71.94,339470,24421471.8
2017-06-12,72.33,72.67,71.54,71.94,245880,17688607.2
2017-06-13,72.45,72.45,71.71,72.28,281730,20363444.4
2017-06-14,72.39,72.45,71.94,71.94,435260,31312604.4
2017-06-15,72.67,72.67,71.65,71.65,283740,20329971.0
2017-06-16,73.52,73.52,71.71,71.94,313250,22535205.0
2017-06-19,72.5,72.5,71.65,71.88,272510,19588018.799999997
2017-06-20,71.65,71.77,71.37,71.65,379170,27167530.500000004
2017-06-21,71.77,71.77,70.8,70.86,475110,33666294.6
2017-06-22,70.86,71.09,70.12,70.24,356330,25028619.2
2017-06-23,70.41,71.37,70.35,71.37,372950,26617441.5
2017-06-26,71.6,71.94,71.14,71.37,323890,23116029.3
2017-06-27,71.37,71.37,70.8,70.8,389390,27568812.0
2017-06-28,71.31,71.37,70.58,70.69,319150,22560713.5
