time,open,high,low,close,volume,amounts
2010-03-30,2.42,2.52,2.28,2.36,869800,2052728.0
2010-03-31,2.39,2.48,2.36,2.45,542900,1330105.0
2010-04-01,2.45,2.52,2.45,2.48,372900,924792.0
2010-04-02,2.49,2.49,2.36,2.46,569400,1400724.0
2010-04-05,2.42,2.53,2.36,2.53,748500,1893704.9999999998
2010-04-06,2.48,2.53,2.42,2.48,724800,1797504.0
2010-04-07,2.48,2.56,2.43,2.56,816300,2089728.0
2010-04-08,2.5,2.56,2.49,2.56,1131600,2896896.0
2010-04-09,2.55,2.7,2.55,2.7,934400,2522880.0
2010-04-12,2.81,2.86,2.76,2.86,769400,2200484.0
2010-04-13,2.99,3.02,2.75,2.78,756400,2102792.0
2010-04-14,2.76,2.81,2.68,2.75,729000,2004750.0
2010-04-15,2.81,2.87,2.76,2.8,903100,2528680.0
2010-04-16,2.81,2.86,2.79,2.81,542500,1524425.0
2010-04-19,2.81,2.86,2.81,2.81,716900,2014489.0
2010-04-20,2.81,2.88,2.81,2.83,701600,1985528.0
2010-04-21,2.83,3.04,2.81,3.04,974500,2962480.0
2010-04-22,3.04,3.1,2.98,3.02,720600,2176212.0
2010-04-26,3.04,3.07,2.99,3.04,933900,2839056.0
2010-04-27,3.04,3.04,2.95,2.97,830900,2467773.0
2010-04-28,2.98,2.99,2.93,2.99,601500,1798485.0000000002
2010-04-29,3.01,3.02,2.97,2.99,481500,1439685.0
2010-05-04,3.04,3.1,3.02,3.06,753500,2305710.0
2010-05-05,3.04,3.1,3.02,3.08,595800,1835064.0
2010-05-06,3.12,3.28,3.12,3.15,605700,1907955.0
2010-05-07,3.15,3.15,2.95,3.02,783500,2366170.0
2010-05-10,3.02,3.02,2.83,2.85,943900,2690115.0
2010-05-11,2.93,2.98,2.87,2.88,1001900,2885472.0
2010-05-12,2.87,2.87,2.72,2.74,693900,1901286.0000000002
2010-05-13,2.76,2.86,2.75,2.77,597400,1654798.0
2010-05-14,2.79,2.8,2.75,2.77,388200,1075314.0
