time,open,high,low,close,volume,amounts
2010-01-04,6.8,7.12,6.8,7.12,522570,3720698.4
2010-01-05,7.43,7.43,7.34,7.43,788950,5861898.5
2010-01-06,7.25,7.53,7.25,7.48,320220,2395245.6
2010-01-07,7.43,7.48,7.25,7.25,165310,1198497.5
2010-01-08,7.25,7.39,7.03,7.03,391270,2750628.1
2010-01-11,6.98,7.07,6.94,6.94,270860,1879768.4000000001
2010-01-12,6.8,6.89,6.71,6.71,362150,2430026.5
2010-01-13,6.62,6.89,6.53,6.89,351930,2424797.6999999997
2010-01-14,6.89,6.98,6.8,6.89,175250,1207472.5
2010-01-15,6.94,6.94,6.71,6.71,241100,1617781.0
2010-01-18,6.53,6.57,6.44,6.44,264810,1705376.4000000001
2010-01-19,6.48,6.75,6.48,6.75,281670,1901272.5
2010-01-20,6.75,7.07,6.75,7.07,606070,4284914.9
2010-01-21,6.94,7.07,6.89,6.89,547510,3772343.9
2010-01-22,6.89,6.98,6.85,6.89,259390,1787197.0999999999
2010-01-25,6.94,7.07,6.89,7.07,254610,1800092.7000000002
2010-01-26,7.16,7.39,7.16,7.39,620490,4585421.1
2010-01-27,7.12,7.3,7.07,7.07,560860,3965280.2
2010-01-28,7.16,7.16,7.03,7.07,163980,1159338.6
2010-01-29,7.12,7.16,7.03,7.03,337550,2372976.5
2010-02-01,7.03,7.34,7.03,7.34,258050,1894087.0
2010-02-02,7.43,7.48,7.25,7.43,713690,5302716.7
2010-02-03,7.53,7.8,7.48,7.8,1539620,12009036.0
2010-02-04,7.89,8.16,7.84,8.07,1188140,9588289.8
2010-02-05,7.89,7.93,7.71,7.71,551100,4248981.0
2010-02-08,7.53,7.75,7.53,7.71,246070,1897199.7
2010-02-09,7.66,7.71,7.34,7.34,1991740,14619371.6
2010-02-10,7.53,7.71,7.53,7.71,615590,4746198.9
2010-02-11,7.84,8.07,7.8,8.07,1382690,11158308.3
2010-02-12,8.07,8.25,8.07,8.21,1058090,8686918.9
2010-02-22,8.16,8.16,7.98,8.11,640640,5195590.399999999
2010-02-23,8.07,8.07,7.84,7.84,542830,4255787.2
2010-02-24,7.84,7.98,7.84,7.93,435280,3451770.4
2010-02-25,8.12,8.12,8.02,8.07,591140,4770499.8
2010-02-26,8.07,8.12,7.8,7.8,964030,7519434.0
2010-03-01,7.98,7.98,7.8,7.8,314070,2449746.0
2010-03-02,7.93,7.93,7.75,7.75,371080,2875870.0
2010-03-03,7.93,7.98,7.84,7.93,182040,1443577.2
2010-03-04,8.12,8.21,8.02,8.02,423030,3392700.5999999996
2010-03-05,8.16,8.16,7.98,8.07,257150,2075200.5
2010-03-08,8.39,8.39,8.12,8.16,328580,2681212.8000000003
2010-03-09,8.21,8.53,8.21,8.39,1059570,8889792.3
2010-03-10,8.25,8.39,8.21,8.21,142590,1170663.9000000001
2010-03-11,8.21,8.25,8.12,8.16,114560,934809.6
2010-03-12,8.16,8.21,8.12,8.16,104640,853862.4
2010-03-15,8.35,8.35,8.16,8.16,200590,1636814.4000000001
2010-03-16,8.12,8.21,8.02,8.02,123000,986460.0
2010-03-17,8.02,8.12,8.02,8.02,83710,671354.2
2010-03-18,8.02,8.07,7.98,8.07,66490,536574.3
2010-03-19,8.07,8.12,7.98,7.98,46770,373224.60000000003
2010-03-22,7.93,8.07,7.93,7.93,54750,434167.5
2010-03-23,7.93,7.98,7.84,7.84,76950,603288.0
2010-03-24,7.89,7.93,7.89,7.89,70370,555219.2999999999
2010-03-25,7.8,7.89,7.8,7.89,70870,559164.2999999999
2010-03-26,7.84,7.89,7.8,7.84,130230,1021003.2
2010-03-29,8.02,8.02,7.84,7.89,143530,1132451.7
2010-03-30,7.8,7.89,7.7,7.75,158730,1230157.5
2010-03-31,7.89,7.89,7.8,7.8,118610,925158.0
2010-04-01,7.93,7.93,7.84,7.84,187970,1473684.8
2010-04-02,7.98,7.98,7.89,7.93,106910,847796.2999999999
2010-04-05,7.98,8.07,7.98,8.02,103910,833358.2
2010-04-06,8.02,8.02,7.93,7.98,218490,1743550.2000000002
2010-04-07,8.07,8.07,7.89,7.93,234320,1858157.5999999999
2010-04-08,7.98,8.07,7.98,8.03,214670,1723800.0999999999
2010-04-09,8.03,8.07,8.03,8.03,162060,1301341.7999999998
2010-04-12,8.35,8.35,8.17,8.17,250280,2044787.6
2010-04-13,8.26,8.3,8.17,8.17,391070,3195041.9
2010-04-14,8.26,8.26,8.12,8.17,206310,1685552.7
2010-04-15,8.26,8.26,8.17,8.26,158020,1305245.2
2010-04-16,8.21,8.26,8.17,8.21,96740,794235.4000000001
2010-04-19,8.26,8.26,8.21,8.21,240970,1978363.7000000002
2010-04-20,8.26,8.26,8.17,8.21,162870,1337162.7000000002
2010-04-21,8.21,8.26,8.12,8.17,119140,973373.8
2010-04-22,8.21,8.26,8.17,8.17,117050,956298.5
2010-04-26,8.26,8.3,8.21,8.3,260840,2164972.0
2010-04-27,8.4,8.68,8.35,8.63,676730,5840179.9
2010-04-28,8.81,8.81,8.68,8.72,398620,3475966.4000000004
2010-04-29,8.63,8.77,8.63,8.72,251870,2196306.4000000004
2010-05-04,8.72,8.72,8.63,8.63,177180,1529063.4000000001
2010-05-05,8.54,8.63,8.49,8.58,219490,1883224.2
2010-05-06,8.63,8.63,8.54,8.58,209680,1799054.4
2010-05-07,8.44,8.49,8.35,8.49,283240,2404707.6
2010-05-10,8.49,8.54,8.35,8.4,221640,1861776.0
2010-05-11,8.44,8.54,8.44,8.54,118430,1011392.2
2010-05-12,8.44,8.54,8.44,8.44,198420,1674664.7999999998
2010-05-13,8.54,8.54,8.44,8.49,57080,484609.2
2010-05-14,8.58,8.58,8.49,8.54,117740,1005499.5999999999
2010-05-17,8.54,8.54,8.44,8.44,106480,898691.2
2010-05-18,8.44,8.49,8.4,8.44,79010,666844.3999999999
2010-05-19,8.44,8.44,8.26,8.3,241580,2005114.0000000002
2010-05-20,8.26,8.35,8.21,8.35,272360,2274206.0
2010-05-21,8.07,8.3,8.07,8.12,214660,1743039.1999999997
2010-05-24,8.26,8.26,8.12,8.21,162620,1335110.2000000002
2010-05-25,8.3,8.3,8.21,8.26,70580,582990.7999999999
2010-05-26,8.3,8.3,8.26,8.3,88640,735712.0000000001
2010-05-27,8.35,8.35,8.26,8.26,51500,425390.0
2010-05-28,8.44,8.44,8.3,8.35,130340,1088339.0
2010-05-31,8.4,8.4,8.21,8.21,58970,484143.70000000007
2010-06-01,8.26,8.26,8.21,8.26,82740,683432.4
2010-06-02,8.26,8.26,8.21,8.21,223120,1831815.2000000002
2010-06-03,8.35,8.4,8.3,8.3,128860,1069538.0
2010-06-04,8.44,8.44,8.3,8.35,103320,862722.0
2010-06-07,8.21,8.26,8.12,8.17,270460,2209658.2
2010-06-08,8.26,8.26,8.17,8.17,73450,600086.5
2010-06-09,8.35,8.35,8.26,8.3,76840,637772.0
2010-06-10,8.35,8.35,8.26,8.35,43820,365897.0
2010-06-11,8.49,8.49,8.3,8.35,208230,1738720.5
2010-06-14,8.4,8.4,8.3,8.35,51320,428522.0
2010-06-15,8.3,8.35,8.3,8.3,46660,387278.00000000006
2010-06-16,8.35,8.35,8.3,8.35,42730,356795.5
2010-06-17,8.35,8.35,8.3,8.3,44250,367275.00000000006
2010-06-18,8.3,8.35,8.3,8.3,43680,362544.00000000006
2010-06-21,8.35,8.35,8.3,8.3,72460,601418.0
2010-06-22,8.35,8.35,8.26,8.3,61680,511944.00000000006
2010-06-23,8.35,8.44,8.26,8.4,136740,1148616.0
2010-06-24,8.35,8.44,8.35,8.44,95000,801800.0
2010-06-25,8.35,8.44,8.35,8.44,65690,554423.6
2010-06-28,8.44,8.44,8.35,8.4,120260,1010184.0
2010-06-29,8.44,8.44,8.35,8.4,56160,471744.0
2010-06-30,8.4,8.4,8.3,8.35,106670,890694.5
2010-07-01,8.4,8.44,8.35,8.44,125970,1063186.8
2010-07-02,8.49,8.49,8.4,8.49,103090,875234.1
2010-07-05,8.49,8.49,8.44,8.44,47090,397439.6
2010-07-06,8.49,8.49,8.44,8.44,90400,762976.0
2010-07-07,8.4,8.49,8.4,8.44,43750,369250.0
2010-07-08,8.49,8.49,8.44,8.44,76850,648614.0
2010-07-09,8.44,8.49,8.44,8.44,70390,594091.6
2010-07-12,8.44,8.49,8.4,8.49,38490,326780.10000000003
2010-07-13,8.54,8.54,8.44,8.54,61150,522220.99999999994
2010-07-14,8.58,8.58,8.54,8.54,100580,858953.2
2010-07-15,8.54,8.58,8.49,8.54,48800,416751.99999999994
2010-07-16,8.58,8.58,8.49,8.58,39150,335907.0
2010-07-19,8.58,8.63,8.54,8.58,62020,532131.6
2010-07-20,8.68,8.72,8.63,8.63,127800,1102914.0
2010-07-21,8.68,8.72,8.63,8.68,77860,675824.7999999999
2010-07-22,8.63,8.63,8.58,8.58,34060,292234.8
2010-07-23,8.58,8.58,8.54,8.54,39200,334767.99999999994
2010-07-26,8.58,8.63,8.54,8.54,77420,661166.7999999999
2010-07-27,8.54,8.58,8.49,8.54,56320,480972.79999999993
2010-07-28,8.58,8.58,8.4,8.49,159210,1351692.9000000001
2010-07-29,8.49,8.54,8.44,8.49,45050,382474.5
2010-07-30,8.49,8.49,8.44,8.49,53050,450394.5
2010-08-02,8.49,8.49,8.4,8.44,70110,591728.4
2010-08-03,8.44,8.49,8.44,8.49,95750,812917.5
2010-08-04,8.54,8.54,8.44,8.49,103130,875573.7000000001
2010-08-05,8.49,8.54,8.49,8.54,67940,580207.6
2010-08-06,8.54,8.54,8.49,8.49,64800,550152.0
2010-08-09,8.58,8.58,8.44,8.44,93970,793106.7999999999
2010-08-10,8.54,8.54,8.4,8.44,147420,1244224.7999999998
2010-08-11,8.44,8.49,8.4,8.49,64660,548963.4
2010-08-12,8.44,8.44,8.35,8.35,156750,1308862.5
2010-08-13,8.4,8.59,8.35,8.59,232020,1993051.8
2010-08-16,8.64,8.69,8.59,8.69,29170,253487.3
2010-08-17,8.59,8.64,8.54,8.59,50450,433365.5
2010-08-18,8.59,8.59,8.49,8.49,34750,295027.5
2010-08-19,8.59,8.59,8.49,8.49,32560,276434.4
2010-08-20,8.49,8.54,8.45,8.54,13660,116656.4
2010-08-23,8.54,8.54,8.45,8.49,7880,66901.2
2010-08-24,8.35,8.45,8.3,8.35,46050,384517.5
2010-08-25,8.3,8.3,8.11,8.3,74930,621919.0
2010-08-26,8.3,8.3,8.21,8.3,45190,375077.00000000006
2010-08-27,8.3,8.35,8.25,8.35,20430,170590.5
2010-08-30,8.54,8.54,8.35,8.49,22350,189751.5
2010-08-31,8.54,8.54,8.45,8.54,70430,601472.2
2010-09-01,8.54,8.54,8.4,8.49,27940,237210.6
2010-09-06,8.54,8.54,8.45,8.49,33920,287980.8
2010-09-07,8.49,8.54,8.45,8.45,37150,313917.5
2010-09-08,8.49,8.49,8.4,8.45,43550,367997.49999999994
2010-09-09,8.45,8.54,8.45,8.49,21730,184487.7
2010-09-10,8.49,8.54,8.45,8.49,83710,710697.9
2010-09-13,8.49,8.49,8.4,8.49,10820,91861.8
2010-09-14,8.49,8.49,8.45,8.49,36520,310054.8
2010-09-15,8.54,8.54,8.45,8.49,21860,185591.4
2010-09-16,8.54,8.54,8.45,8.49,44870,380946.3
2010-09-17,8.45,8.54,8.45,8.54,39810,339977.39999999997
2010-09-20,8.64,8.64,8.54,8.54,48980,418289.19999999995
2010-09-21,8.54,8.59,8.49,8.54,39230,335024.19999999995
2010-09-22,8.54,8.54,8.49,8.54,23130,197530.19999999998
2010-09-23,8.54,8.54,8.49,8.49,55410,470430.9
2010-09-24,8.59,8.59,8.4,8.45,38170,322536.5
2010-09-27,8.45,8.49,8.45,8.49,33560,284924.4
2010-09-28,8.45,8.49,8.45,8.49,16570,140679.30000000002
2010-09-29,8.49,8.54,8.45,8.49,34830,295706.7
2010-09-30,8.49,8.49,8.45,8.49,21220,180157.80000000002
2010-10-01,8.4,8.49,8.4,8.49,8270,70212.3
2010-10-04,8.49,8.49,8.4,8.4,38230,321132.0
2010-10-05,8.35,8.4,8.3,8.35,19720,164662.0
2010-10-06,8.45,8.45,8.35,8.45,35350,298707.5
2010-10-07,8.45,8.49,8.35,8.4,23270,195468.0
2010-10-08,8.45,8.49,8.35,8.45,16050,135622.5
2010-10-11,8.4,8.54,8.4,8.49,24700,209703.0
2010-10-12,8.49,8.49,8.45,8.49,21200,179988.0
2010-10-13,8.49,8.54,8.45,8.49,28790,244427.1
2010-10-14,8.49,8.54,8.49,8.54,15340,131003.59999999999
2010-10-15,8.49,8.54,8.49,8.49,83480,708745.2000000001
2010-10-18,8.49,8.54,8.45,8.49,15240,129387.6
2010-10-19,8.49,8.49,8.4,8.45,91510,773259.4999999999
2010-10-20,8.35,8.4,8.25,8.35,105630,882010.5
2010-10-21,8.49,8.49,8.35,8.4,48370,406308.0
2010-10-22,8.45,8.49,8.35,8.4,43050,361620.0
2010-10-25,8.3,8.45,8.3,8.4,31540,264936.0
2010-10-26,8.45,8.45,8.35,8.4,33970,285348.0
2010-10-27,8.4,8.4,8.3,8.3,47890,397487.00000000006
2010-10-28,8.3,8.35,8.3,8.35,10870,90764.5
2010-10-29,8.35,8.35,8.3,8.35,48760,407146.0
2010-11-01,8.35,8.35,8.3,8.3,27100,224930.00000000003
2010-11-02,8.35,8.35,8.25,8.3,38740,321542.0
2010-11-03,8.25,8.3,8.21,8.3,50860,422138.00000000006
2010-11-04,8.35,8.35,8.25,8.3,79540,660182.0
2010-11-05,8.3,8.35,8.3,8.3,61840,513272.00000000006
2010-11-08,8.3,8.3,8.25,8.25,75230,620647.5
2010-11-09,8.25,8.25,8.16,8.21,65590,538493.9
2010-11-10,8.16,8.25,8.16,8.21,33400,274214.0
2010-11-11,8.11,8.21,8.11,8.16,33700,274992.0
2010-11-12,8.16,8.16,8.01,8.06,54830,441929.80000000005
2010-11-15,8.06,8.11,7.97,8.01,58350,467383.5
2010-11-16,7.97,8.01,7.87,7.92,66320,525254.4
2010-11-17,7.92,8.06,7.92,8.01,45640,365576.39999999997
2010-11-18,8.01,8.11,8.01,8.11,29250,237217.49999999997
2010-11-19,8.16,8.16,8.01,8.06,47790,385187.4
2010-11-22,8.11,8.11,7.87,8.06,33400,269204.0
2010-11-23,7.97,8.11,7.97,8.06,15310,123398.6
2010-11-24,8.16,8.16,8.01,8.11,10280,83370.79999999999
2010-11-25,8.06,8.16,8.01,8.11,7930,64312.299999999996
2010-11-26,8.11,8.11,8.01,8.11,12010,97401.09999999999
2010-11-29,8.11,8.11,7.97,8.11,22740,184421.4
2010-11-30,8.01,8.21,8.01,8.11,31830,258141.3
2010-12-01,8.11,8.16,8.06,8.06,24450,197067.0
2010-12-02,8.06,8.11,8.01,8.11,28410,230405.09999999998
2010-12-03,8.16,8.21,8.11,8.16,52800,430848.0
2010-12-06,8.16,8.21,8.11,8.11,35070,284417.69999999995
2010-12-07,8.06,8.11,8.01,8.11,32490,263493.89999999997
2010-12-08,8.11,8.16,8.06,8.06,30360,244701.6
2010-12-09,8.06,8.21,8.06,8.21,45780,375853.80000000005
2010-12-10,8.25,8.25,8.21,8.25,39800,328350.0
2010-12-13,8.45,8.45,8.35,8.45,52730,445568.49999999994
2010-12-14,8.45,8.45,8.16,8.35,39360,328656.0
2010-12-15,8.35,8.35,8.25,8.3,17900,148570.0
2010-12-16,8.16,8.3,8.16,8.25,21920,180840.0
2010-12-17,8.25,8.25,8.16,8.16,59800,487968.0
2010-12-20,8.3,8.3,8.16,8.21,28330,232589.30000000002
2010-12-21,8.11,8.3,8.11,8.3,56180,466294.00000000006
2010-12-22,8.35,8.35,8.16,8.25,16810,138682.5
2010-12-23,8.3,8.3,8.16,8.21,15090,123888.90000000001
2010-12-24,8.3,8.3,8.16,8.16,27000,220320.0
2010-12-27,8.25,8.25,8.16,8.21,15330,125859.30000000002
2010-12-28,8.21,8.25,8.16,8.16,36050,294168.0
2010-12-29,8.25,8.25,8.16,8.25,11030,90997.5
2010-12-30,8.25,8.25,8.16,8.25,5290,43642.5
2010-12-31,8.25,8.25,8.21,8.25,31120,256740.0
2011-01-04,8.25,8.25,8.16,8.21,26910,220931.10000000003
2011-01-05,8.21,8.21,8.11,8.16,12590,102734.40000000001
2011-01-06,8.16,8.21,8.11,8.16,47110,384417.60000000003
2011-01-07,8.21,8.21,8.16,8.16,13580,110812.8
2011-01-10,8.25,8.25,8.16,8.21,27120,222655.2
2011-01-11,8.21,8.25,8.11,8.21,16560,135957.6
2011-01-12,8.25,8.25,8.16,8.21,11280,92608.8
