time,open,high,low,close,volume,amounts
2017-08-17,7.87,7.87,6.66,7.87,58299310,458815569.7
2017-08-18,7.66,7.77,7.5,7.5,1092840,8196300.0
2017-08-21,7.22,7.42,7.16,7.23,798670,5774384.100000001
2017-08-22,7.02,7.26,7.02,7.26,2295930,16668451.799999999
2017-08-23,7.26,7.42,7.21,7.3,520790,3801767.0
2017-08-24,7.33,7.33,7.22,7.31,678690,4961223.899999999
2017-08-25,7.24,7.32,7.22,7.32,615370,4504508.4
2017-08-28,7.26,7.32,7.24,7.32,761670,5575424.4
2017-08-29,7.28,7.32,7.25,7.32,990000,7246800.0
2017-08-30,7.32,7.32,7.26,7.32,830100,6076332.0
2017-08-31,7.28,7.32,7.28,7.32,1196380,8757501.6
2017-09-01,7.28,7.32,7.28,7.32,978060,7159399.2
2017-09-05,7.27,7.34,7.27,7.34,1274130,9352114.2
2017-09-06,7.34,7.7,7.32,7.69,1269010,9758686.9
2017-09-07,7.7,7.93,7.7,7.78,900290,7004256.2
2017-09-08,7.77,7.77,7.69,7.7,339640,2615228.0
2017-09-11,7.66,7.68,7.44,7.46,655570,4890552.2
2017-09-12,7.46,7.56,7.34,7.53,330150,2486029.5
2017-09-13,7.53,7.58,7.48,7.56,312470,2362273.1999999997
2017-09-14,7.56,7.58,7.52,7.55,268880,2030044.0
2017-09-15,7.55,7.58,7.53,7.54,352480,2657699.2
2017-09-18,7.54,7.56,7.51,7.52,323580,2433321.6
2017-09-19,7.52,7.52,7.44,7.45,820020,6109149.0
2017-09-20,7.45,7.52,7.43,7.44,789670,5875144.800000001
2017-09-21,7.44,7.45,7.41,7.44,535570,3984640.8000000003
2017-09-22,7.44,7.44,7.36,7.4,1288830,9537342.0
2017-09-25,7.4,7.43,7.39,7.39,504360,3727220.4
2017-09-26,7.44,7.44,7.38,7.38,718370,5301570.6
2017-09-27,7.38,7.55,7.38,7.51,1473820,11068388.2
2017-09-28,7.52,7.62,7.5,7.51,1238590,9301810.9
2017-09-29,7.51,7.61,7.51,7.56,752340,5687690.399999999
2017-10-02,7.56,7.58,7.46,7.51,634350,4763968.5
2017-10-03,7.5,7.52,7.41,7.44,659660,4907870.4
2017-10-04,7.44,7.46,7.41,7.44,457470,3403576.8000000003
2017-10-05,7.48,7.49,7.43,7.43,219990,1634525.7
2017-10-06,7.47,7.5,7.42,7.5,409110,3068325.0
2017-10-09,7.58,7.58,7.51,7.55,936770,7072613.5
2017-10-10,7.55,7.7,7.53,7.66,869010,6656616.600000001
2017-10-11,7.7,7.97,7.69,7.97,3495690,27860649.3
2017-10-12,7.98,8.23,7.93,8.08,2362040,19085283.2
2017-10-13,8.05,8.28,8.05,8.11,1322500,10725475.0
2017-10-16,8.11,8.31,8.11,8.21,2217910,18209041.1
2017-10-17,8.21,8.37,8.21,8.31,1689100,14036421.0
2017-10-18,8.47,8.49,8.33,8.33,2362080,19676126.4
2017-10-19,8.31,8.41,8.23,8.29,1057180,8764022.2
2017-10-20,8.29,8.39,8.29,8.33,1480860,12335563.8
2017-10-23,8.33,8.45,8.21,8.23,1498490,12332572.700000001
2017-10-24,8.26,8.26,8.16,8.21,826280,6783758.800000001
2017-10-25,8.21,8.3,8.13,8.27,1275530,10548633.1
2017-10-26,8.27,8.33,8.17,8.21,757830,6221784.300000001
2017-10-27,8.19,8.27,8.18,8.24,738890,6088453.600000001
2017-10-30,8.24,8.43,8.24,8.29,1960480,16252379.2
2017-10-31,8.29,8.33,8.19,8.2,1027260,8423532.0
2017-11-01,8.19,8.25,8.1,8.13,994020,8081382.600000001
2017-11-02,8.11,8.19,7.58,7.6,2450520,18623952.0
2017-11-03,7.62,8.11,7.62,8.11,1257280,10196540.799999999
2017-11-06,8.11,8.11,7.97,8.05,490420,3947881.0000000005
2017-11-07,8.03,8.03,7.95,7.97,579800,4621006.0
2017-11-08,7.97,8.13,7.9,8.11,826220,6700644.199999999
2017-11-09,8.13,8.13,7.97,8.01,537590,4306095.899999999
2017-11-10,8.0,8.01,7.97,7.98,503430,4017371.4000000004
2017-11-13,7.99,7.99,7.79,7.81,734400,5735664.0
2017-11-14,7.81,7.95,7.81,7.88,777620,6127645.6
2017-11-15,7.92,7.96,7.83,7.93,775820,6152252.6
2017-11-16,7.93,8.15,7.88,7.97,916660,7305780.2
2017-11-17,8.03,8.07,7.96,7.97,561660,4476430.2
2017-11-20,7.99,7.99,7.88,7.89,629260,4964861.399999999
2017-11-21,7.87,7.94,7.82,7.86,1003180,7884994.800000001
2017-11-22,7.87,8.11,7.85,7.99,1542070,12321139.3
2017-11-23,8.07,8.25,7.89,8.07,1865520,15054746.4
2017-11-24,8.12,8.19,8.01,8.07,939760,7583863.2
2017-11-27,8.07,8.07,8.02,8.03,865430,6949402.899999999
2017-11-28,8.03,8.14,8.01,8.03,1532570,12306537.1
2017-11-29,8.03,8.16,8.03,8.09,1922690,15554562.1
2017-11-30,8.15,8.32,8.13,8.3,4526350,37568705.0
2017-12-01,8.39,8.39,8.29,8.3,3263090,27083647.000000004
2017-12-04,8.31,8.53,8.31,8.37,2860030,23938451.099999998
2017-12-05,8.41,8.46,8.21,8.28,3035500,25133939.999999996
2017-12-06,8.28,8.29,8.09,8.17,1964010,16045961.7
2017-12-07,8.17,8.19,7.99,7.99,1743680,13932003.200000001
2017-12-08,7.99,8.07,7.95,7.97,1251580,9975092.6
2017-12-11,7.87,7.96,7.78,7.78,1320400,10272712.0
2017-12-12,7.83,7.97,7.26,7.81,2982180,23290825.799999997
2017-12-13,7.81,7.82,7.64,7.64,1148350,8773394.0
2017-12-14,7.66,7.79,7.66,7.75,714430,5536832.5
2017-12-15,7.75,7.84,7.7,7.7,738630,5687451.0
2017-12-18,7.77,7.93,7.75,7.87,1219150,9594710.5
2017-12-19,7.96,7.96,7.77,7.91,1250790,9893748.9
2017-12-20,7.91,8.17,7.91,8.14,1292990,10524938.600000001
2017-12-21,8.15,8.25,8.14,8.16,1587340,12952694.4
2017-12-22,8.13,8.15,8.04,8.15,863870,7040540.5
2017-12-25,8.15,8.15,8.03,8.05,885840,7131012.000000001
2017-12-26,8.07,8.09,8.01,8.03,702040,5637381.199999999
2017-12-27,8.07,8.13,8.05,8.05,1096400,8826020.0
2017-12-28,8.11,8.23,8.11,8.17,1336360,10918061.2
2017-12-29,8.23,8.33,8.19,8.27,2133440,17643548.8
2018-01-02,8.28,8.84,8.28,8.73,6973030,60874551.900000006
2018-01-03,8.85,8.96,8.71,8.74,2393590,20919976.6
2018-01-04,8.75,9.08,8.74,9.06,3127720,28337143.200000003
2018-01-05,9.06,9.06,8.77,8.96,2611280,23397068.8
2018-01-08,8.96,9.38,8.87,9.37,2758530,25847426.099999998
2018-01-09,9.48,9.67,9.08,9.66,4813410,46497540.6
2018-01-10,9.69,9.79,9.56,9.68,4193390,40592015.199999996
2018-01-11,9.55,9.83,9.53,9.83,2838750,27904912.5
2018-01-12,9.88,9.88,9.44,9.5,6034390,57326705.0
2018-01-15,9.52,9.76,9.46,9.68,2849090,27579191.2
2018-01-16,9.64,9.67,9.4,9.58,4223700,40463046.0
2018-01-17,9.61,9.74,9.45,9.48,2524920,23936241.6
