time,open,high,low,close,volume,amounts
2017-11-28,18.07,18.07,18.07,18.07,5000,90350.0
2017-11-29,19.83,19.83,19.83,19.83,193600,3839087.9999999995
2017-11-30,21.8,21.8,20.44,20.89,542500,11332825.0
2017-12-01,22.21,22.21,20.19,20.89,62300,1301447.0
2017-12-04,20.89,20.89,20.19,20.19,139600,2818524.0
2017-12-05,20.04,20.19,19.68,19.88,49900,992012.0
2017-12-06,20.19,20.19,19.48,19.48,57000,1110360.0
2017-12-07,19.73,19.73,19.53,19.68,21300,419184.0
2017-12-08,19.68,19.68,19.18,19.28,100300,1933784.0
2017-12-11,19.28,19.43,18.92,19.33,91400,1766761.9999999998
2017-12-12,19.18,19.33,18.67,19.18,101200,1941016.0
2017-12-13,19.28,19.28,18.67,19.08,76900,1467251.9999999998
2017-12-14,19.08,19.08,18.57,18.57,115900,2152263.0
2017-12-15,18.67,18.67,17.76,17.76,116400,2067264.0000000002
2017-12-18,17.71,19.18,17.66,18.92,198030,3746727.6000000006
2017-12-19,18.92,18.98,18.52,18.52,203900,3776228.0
2017-12-20,18.57,18.62,18.32,18.62,110200,2051924.0
2017-12-21,19.14,19.14,18.52,18.73,181200,3393876.0
2017-12-22,18.73,18.83,18.57,18.83,161500,3041044.9999999995
2017-12-25,18.83,18.88,18.36,18.88,187500,3540000.0
2017-12-26,18.62,18.73,18.31,18.73,219400,4109362.0
2017-12-27,18.47,18.73,18.41,18.73,96100,1799953.0
2017-12-28,18.73,18.78,18.26,18.78,79000,1483620.0
2017-12-29,18.73,19.77,18.21,19.77,216600,4282182.0
2018-01-02,19.77,19.77,18.83,18.83,212200,3995725.9999999995
2018-01-03,18.83,18.83,18.47,18.73,193330,3621070.9
2018-01-04,18.73,18.73,18.52,18.73,259600,4862308.0
2018-01-05,18.57,18.78,18.57,18.78,202700,3806706.0
2018-01-08,18.73,18.78,18.62,18.78,237900,4467762.0
2018-01-09,18.62,18.73,18.62,18.62,97200,1809864.0
2018-01-10,18.67,18.73,18.62,18.67,132400,2471908.0
2018-01-11,18.67,18.73,18.67,18.73,92900,1740017.0
2018-01-12,18.67,18.73,18.67,18.73,123400,2311282.0
2018-01-15,18.73,19.14,18.73,19.04,125130,2382475.1999999997
2018-01-16,19.04,19.09,18.88,19.04,69900,1330896.0
2018-01-17,19.04,19.35,19.04,19.19,182800,3507932.0000000005
2018-01-18,19.19,19.56,19.19,19.35,87900,1700865.0000000002
2018-01-19,19.35,19.71,19.35,19.61,193700,3798457.0
2018-01-22,19.61,19.71,19.51,19.66,138500,2722910.0
2018-01-23,19.61,19.71,19.45,19.71,78400,1545264.0
2018-01-24,19.71,19.77,19.61,19.77,73300,1449141.0
2018-01-25,19.71,19.87,19.56,19.87,119800,2380426.0
2018-01-26,19.92,19.92,19.51,19.87,80000,1589600.0
2018-01-29,19.77,19.87,19.51,19.71,145800,2873718.0
2018-01-30,19.61,19.61,19.19,19.25,157800,3037650.0
2018-01-31,19.66,19.71,19.14,19.51,96800,1888568.0000000002
2018-02-01,19.66,19.71,19.45,19.61,78800,1545268.0
2018-02-02,19.56,19.61,19.4,19.61,134400,2635584.0
2018-02-05,19.51,19.51,18.88,19.25,59200,1139600.0
2018-02-06,17.69,19.19,17.69,18.62,73300,1364846.0
2018-02-07,18.52,18.99,18.47,18.78,143400,2693052.0
2018-02-08,19.25,19.25,18.67,18.83,127200,2395176.0
2018-02-09,18.21,18.99,18.21,18.99,141500,2687085.0
2018-02-12,18.88,19.51,18.73,19.25,169600,3264800.0
2018-02-13,19.25,19.45,18.62,19.45,172000,3345400.0
2018-02-21,19.56,19.66,19.4,19.66,203000,3990980.0
2018-02-22,19.66,19.71,19.45,19.51,209100,4079541.0000000005
2018-02-23,19.51,19.66,19.25,19.66,204700,4024402.0
2018-02-26,19.61,19.97,19.51,19.77,226600,4479882.0
2018-02-27,19.66,19.82,19.51,19.77,233440,4615108.8
2018-02-28,19.66,19.77,19.45,19.77,174300,3445911.0
2018-03-01,19.66,19.71,19.51,19.51,180700,3525457.0000000005
2018-03-02,19.71,19.71,19.61,19.71,208630,4112097.3000000003
2018-03-05,19.56,19.77,19.56,19.71,155500,3064905.0
2018-03-06,19.66,19.77,19.56,19.71,117000,2306070.0
2018-03-07,19.71,19.77,19.56,19.66,144400,2838904.0
2018-03-08,19.56,19.71,19.51,19.66,137409,2701460.94
2018-03-09,19.66,19.71,19.4,19.51,123600,2411436.0
2018-03-12,19.51,19.51,19.4,19.51,100700,1964657.0000000002
2018-03-13,19.45,19.51,19.4,19.51,89000,1736390.0000000002
2018-03-14,19.45,19.66,19.3,19.66,82100,1614086.0
2018-03-15,19.71,19.77,19.45,19.71,82300,1622133.0
2018-03-16,19.56,19.71,19.45,19.71,119000,2345490.0
2018-03-19,19.61,19.71,19.51,19.71,152431,3004415.0100000002
2018-03-20,19.71,19.71,19.45,19.71,101900,2008449.0
2018-03-21,19.71,19.71,19.4,19.61,84300,1653123.0
2018-03-22,19.51,19.66,19.51,19.56,96200,1881671.9999999998
2018-03-23,19.35,19.56,19.35,19.56,96200,1881671.9999999998
2018-03-26,19.4,19.51,19.25,19.51,82400,1607624.0000000002
2018-03-27,19.51,20.13,19.35,20.08,175600,3526047.9999999995
2018-03-28,20.18,20.29,19.92,20.23,126700,2563141.0
2018-03-29,20.81,20.81,19.97,20.29,176000,3571040.0
2018-03-30,20.23,20.55,19.97,20.55,136700,2809185.0
2018-04-02,20.55,21.12,20.49,21.12,200400,4232448.0
2018-04-03,20.81,21.17,20.65,21.17,137700,2915109.0000000005
2018-04-04,20.86,21.33,20.86,21.17,123500,2614495.0
