time,open,high,low,close,volume,amounts
2010-01-04,2.09,2.09,2.02,2.09,37990,79399.09999999999
2010-01-05,2.19,2.19,2.14,2.18,34170,74490.6
2010-01-06,2.19,2.19,2.18,2.19,3520,7708.8
2010-01-07,2.22,2.24,2.14,2.22,35430,78654.6
2010-01-08,2.22,2.24,2.22,2.22,33600,74592.0
2010-01-11,2.24,2.24,2.18,2.21,11430,25260.3
2010-01-12,2.22,2.24,2.21,2.22,37500,83250.00000000001
2010-01-13,2.21,2.21,2.16,2.19,13600,29784.0
2010-01-14,2.24,2.24,2.19,2.19,5900,12921.0
2010-01-15,2.24,2.24,2.19,2.21,12130,26807.3
2010-01-18,2.16,2.16,2.1,2.1,28410,59661.0
2010-01-19,2.1,2.14,2.1,2.11,9660,20382.6
2010-01-20,2.1,2.16,2.09,2.09,9680,20231.199999999997
2010-01-21,2.09,2.09,2.08,2.08,40350,83928.0
2010-01-22,2.09,2.09,2.08,2.09,4800,10032.0
2010-01-25,2.1,2.1,2.04,2.1,8410,17661.0
2010-01-26,2.18,2.18,2.13,2.18,8320,18137.600000000002
2010-01-27,2.19,2.21,2.14,2.19,7330,16052.699999999999
2010-01-28,2.24,2.24,2.19,2.21,31830,70344.3
2010-01-29,2.21,2.21,2.11,2.21,3620,8000.2
2010-02-01,2.18,2.21,2.18,2.19,6040,13227.6
2010-02-02,2.15,2.19,2.14,2.18,3590,7826.200000000001
2010-02-03,2.18,2.22,2.18,2.21,31070,68664.7
2010-02-04,2.22,2.3,2.22,2.29,78820,180497.8
2010-02-05,2.25,2.29,2.25,2.26,31820,71913.2
2010-02-08,2.26,2.29,2.19,2.26,1900,4294.0
2010-02-09,2.2,2.26,2.2,2.21,23660,52288.6
2010-02-10,2.25,2.26,2.24,2.26,46410,104886.59999999999
2010-02-11,2.3,2.3,2.25,2.26,3090,6983.4
2010-02-12,2.25,2.26,2.25,2.25,1960,4410.0
2010-02-22,2.26,2.26,2.26,2.26,10,22.599999999999998
2010-02-23,2.22,2.27,2.22,2.22,6430,14274.6
2010-02-24,2.24,2.24,2.21,2.22,2320,5150.400000000001
2010-02-25,2.21,2.22,2.21,2.21,2400,5304.0
2010-02-26,2.24,2.24,2.2,2.24,4070,9116.800000000001
2010-03-01,2.24,2.24,2.24,2.24,6600,14784.000000000002
2010-03-02,2.24,2.25,2.24,2.24,61290,137289.6
2010-03-03,2.3,2.3,2.24,2.27,40390,91685.3
2010-03-04,2.29,2.29,2.29,2.29,27770,63593.3
2010-03-05,2.29,2.29,2.29,2.29,7680,17587.2
2010-03-08,2.3,2.3,2.24,2.24,22990,51497.600000000006
2010-03-09,2.24,2.26,2.24,2.26,15150,34239.0
2010-03-10,2.31,2.31,2.24,2.26,22500,50849.99999999999
2010-03-11,2.29,2.29,2.24,2.24,17610,39446.4
2010-03-12,2.24,2.25,2.24,2.24,23740,53177.600000000006
2010-03-15,2.27,2.27,2.24,2.26,27330,61765.799999999996
2010-03-16,2.19,2.25,2.19,2.19,17070,37383.299999999996
2010-03-17,2.19,2.25,2.19,2.24,16380,36691.200000000004
2010-03-18,2.25,2.25,2.24,2.25,10480,23580.0
2010-03-19,2.24,2.24,2.24,2.24,10160,22758.4
2010-03-22,2.24,2.24,2.24,2.24,27360,61286.40000000001
2010-03-23,2.24,2.25,2.24,2.24,26960,60390.40000000001
2010-03-24,2.24,2.24,2.2,2.24,4940,11065.6
2010-03-25,2.24,2.24,2.17,2.17,7350,15949.5
2010-03-26,2.24,2.24,2.19,2.24,5900,13216.000000000002
2010-03-29,2.24,2.24,2.19,2.2,4530,9966.0
2010-03-30,2.2,2.2,2.17,2.17,12900,27993.0
2010-03-31,2.17,2.17,2.16,2.16,8330,17992.800000000003
2010-04-01,2.2,2.2,2.15,2.2,5190,11418.000000000002
2010-04-02,2.16,2.19,2.16,2.16,2450,5292.0
2010-04-05,2.19,2.19,2.16,2.17,3620,7855.4
2010-04-06,2.17,2.17,2.15,2.15,26760,57534.0
2010-04-07,2.15,2.15,2.13,2.14,51070,109289.8
2010-04-08,2.13,2.14,2.11,2.13,20650,43984.5
2010-04-09,2.13,2.14,2.11,2.14,39360,84230.40000000001
2010-04-12,2.14,2.14,2.13,2.14,27700,59278.0
2010-04-13,2.14,2.14,2.14,2.14,12010,25701.4
2010-04-14,2.14,2.14,2.14,2.14,7020,15022.800000000001
2010-04-15,2.14,2.14,2.14,2.14,9410,20137.4
2010-04-16,2.13,2.15,2.11,2.13,26050,55486.5
2010-04-19,2.11,2.11,2.11,2.11,220,464.2
2010-04-20,2.11,2.13,2.11,2.11,18670,39393.7
2010-04-21,2.1,2.19,2.1,2.1,28790,60459.0
2010-04-22,2.1,2.16,2.1,2.16,5840,12614.400000000001
2010-04-26,2.15,2.16,2.15,2.15,4550,9782.5
2010-04-27,2.14,2.16,2.14,2.16,8470,18295.2
2010-04-28,2.19,2.19,2.14,2.16,12350,26676.0
2010-04-29,2.17,2.17,2.16,2.16,13080,28252.800000000003
2010-05-04,2.2,2.2,2.17,2.19,8470,18549.3
2010-05-05,2.15,2.16,2.15,2.15,2090,4493.5
2010-05-06,2.15,2.16,2.11,2.15,7820,16813.0
2010-05-07,2.1,2.14,2.09,2.1,10790,22659.0
2010-05-10,2.11,2.13,2.1,2.1,5250,11025.0
2010-05-11,2.14,2.15,2.11,2.11,8000,16880.0
2010-05-12,2.1,2.11,2.09,2.09,6010,12560.9
2010-05-13,2.14,2.14,2.09,2.11,11580,24433.8
2010-05-14,2.13,2.15,2.11,2.11,19110,40322.1
2010-05-17,2.13,2.13,2.06,2.06,1540,3172.4
2010-05-18,2.05,2.09,2.05,2.06,20860,42971.6
2010-05-19,2.09,2.09,2.01,2.01,4420,8884.199999999999
2010-05-20,2.01,2.01,1.98,2.01,6170,12401.699999999999
2010-05-21,1.91,2.01,1.91,1.91,30420,58102.2
2010-05-24,1.95,1.99,1.91,1.95,4000,7800.0
2010-05-25,1.95,1.96,1.95,1.96,25380,49744.799999999996
2010-05-26,1.99,2.01,1.95,1.99,4000,7960.0
2010-05-27,2.0,2.0,2.0,2.0,2960,5920.0
2010-05-28,2.01,2.03,2.01,2.01,1220,2452.2
2010-05-31,2.01,2.01,2.01,2.01,11600,23315.999999999996
2010-06-01,2.01,2.01,2.0,2.01,6880,13828.8
2010-06-02,1.98,2.01,1.98,1.98,1750,3465.0
2010-06-03,2.06,2.06,1.98,1.98,24550,48609.0
2010-06-04,1.99,2.0,1.99,2.0,8500,17000.0
2010-06-07,1.99,1.99,1.98,1.98,12570,24888.6
2010-06-08,1.98,1.98,1.96,1.98,4520,8949.6
2010-06-09,1.98,1.99,1.98,1.98,310,613.8
2010-06-10,1.98,1.99,1.98,1.99,180,358.2
2010-06-11,1.98,1.99,1.98,1.98,3750,7425.0
2010-06-14,1.98,1.99,1.98,1.99,10300,20497.0
2010-06-15,1.96,1.98,1.96,1.98,2150,4257.0
2010-06-16,2.03,2.03,1.99,1.99,8700,17313.0
2010-06-17,2.01,2.01,1.99,2.01,10170,20441.699999999997
2010-06-18,2.06,2.06,2.04,2.05,9980,20459.0
2010-06-21,2.04,2.05,2.04,2.04,6370,12994.800000000001
2010-06-22,2.01,2.01,2.0,2.0,22870,45740.0
2010-06-23,2.0,2.01,2.0,2.01,10000,20099.999999999996
2010-06-24,2.01,2.01,2.01,2.01,56770,114107.69999999998
2010-06-25,2.01,2.01,2.0,2.0,10400,20800.0
2010-06-28,1.98,1.98,1.95,1.98,3930,7781.4
2010-06-29,1.99,1.99,1.99,1.99,5050,10049.5
2010-06-30,1.99,1.99,1.99,1.99,11500,22885.0
2010-07-01,1.99,1.99,1.99,1.99,8050,16019.5
2010-07-02,2.0,2.0,1.99,2.0,28300,56600.0
2010-07-05,1.99,2.0,1.99,2.0,24510,49020.0
2010-07-06,1.99,2.0,1.99,1.99,21300,42387.0
2010-07-07,1.99,2.0,1.99,1.99,27610,54943.9
2010-07-08,2.06,2.06,1.99,1.99,46660,92853.4
2010-07-09,1.99,1.99,1.99,1.99,31500,62685.0
2010-07-12,1.99,1.99,1.96,1.99,65440,130225.6
2010-07-13,2.04,2.04,1.99,1.99,34120,67898.8
2010-07-14,1.99,2.0,1.99,1.99,22500,44775.0
2010-07-15,1.94,1.99,1.94,1.99,10780,21452.2
2010-07-16,2.01,2.01,1.99,1.99,29550,58804.5
2010-07-19,1.99,1.99,1.98,1.99,11420,22725.8
2010-07-20,2.01,2.01,1.99,1.99,2200,4378.0
2010-07-21,1.99,1.99,1.89,1.99,25740,51222.6
2010-07-22,1.91,1.91,1.91,1.91,2660,5080.599999999999
2010-07-23,1.96,1.96,1.83,1.96,13410,26283.6
2010-07-26,1.88,1.91,1.88,1.88,22810,42882.799999999996
2010-07-27,1.79,1.86,1.79,1.79,50940,91182.6
2010-07-28,1.73,1.86,1.73,1.73,11130,19254.9
2010-07-29,1.67,1.8,1.67,1.72,53300,91676.0
2010-07-30,1.79,1.79,1.72,1.79,21270,38073.3
2010-08-02,1.83,1.83,1.79,1.81,17200,31132.0
2010-08-03,1.83,1.83,1.76,1.81,15430,27928.3
2010-08-04,1.8,1.8,1.74,1.79,13960,24988.4
2010-08-05,1.74,1.81,1.74,1.74,9400,16356.0
2010-08-06,1.72,1.73,1.72,1.72,2050,3526.0
2010-08-09,1.72,1.76,1.72,1.72,1710,2941.2
2010-08-10,1.72,1.72,1.64,1.64,66480,109027.2
2010-08-11,1.72,1.72,1.65,1.69,72680,122829.2
2010-08-12,1.73,1.73,1.62,1.63,54400,88672.0
2010-08-13,1.68,1.68,1.6,1.68,54540,91627.2
2010-08-16,1.74,1.74,1.72,1.74,3870,6733.8
2010-08-17,1.68,1.76,1.67,1.68,36710,61672.799999999996
2010-08-18,1.67,1.67,1.65,1.65,24930,41134.5
2010-08-19,1.65,1.65,1.65,1.65,29000,47850.0
2010-08-20,1.68,1.7,1.67,1.68,630,1058.3999999999999
2010-08-23,1.72,1.72,1.65,1.72,5760,9907.2
2010-08-24,1.72,1.72,1.65,1.65,4200,6930.0
2010-08-25,1.65,1.65,1.6,1.6,68790,110064.0
2010-08-26,1.59,1.67,1.58,1.61,38060,61276.600000000006
2010-08-27,1.63,1.63,1.61,1.63,20620,33610.6
2010-08-30,1.7,1.7,1.67,1.7,430,731.0
2010-08-31,1.7,1.73,1.64,1.72,7050,12126.0
2010-09-01,1.7,1.74,1.65,1.7,7910,13447.0
2010-09-06,1.76,1.76,1.69,1.72,8050,13846.0
2010-09-07,1.76,1.76,1.69,1.7,700,1190.0
2010-09-08,1.72,1.73,1.64,1.72,5930,10199.6
2010-09-09,1.65,1.69,1.65,1.68,10760,18076.8
2010-09-10,1.7,1.72,1.7,1.7,1060,1802.0
2010-09-13,1.65,1.73,1.65,1.65,2310,3811.5
2010-09-14,1.65,1.67,1.61,1.65,650,1072.5
2010-09-15,1.61,1.65,1.61,1.61,9290,14956.900000000001
2010-09-16,1.56,1.64,1.56,1.58,9440,14915.2
2010-09-17,1.6,1.6,1.59,1.6,4350,6960.0
2010-09-20,1.6,1.64,1.6,1.64,6490,10643.599999999999
2010-09-21,1.64,1.64,1.61,1.64,3800,6232.0
2010-09-22,1.64,1.64,1.63,1.64,141080,231371.19999999998
2010-09-23,1.63,1.63,1.61,1.63,11620,18940.6
2010-09-24,1.61,1.63,1.59,1.61,1190,1915.9
2010-09-27,1.61,1.64,1.59,1.61,1110,1787.1000000000001
2010-09-28,1.61,1.61,1.6,1.61,9690,15600.900000000001
2010-09-29,1.61,1.61,1.59,1.59,184120,292750.8
2010-09-30,1.6,1.6,1.59,1.6,52810,84496.0
2010-10-01,1.58,1.6,1.58,1.58,56700,89586.0
2010-10-04,1.64,1.64,1.58,1.6,29680,47488.0
2010-10-05,1.6,1.61,1.6,1.61,6250,10062.5
2010-10-06,1.61,1.64,1.6,1.61,7460,12010.6
2010-10-07,1.55,1.65,1.55,1.63,2720,4433.599999999999
2010-10-08,1.63,1.63,1.63,1.63,1000,1630.0
2010-10-11,1.63,1.63,1.6,1.6,6800,10880.0
2010-10-12,1.59,1.64,1.59,1.59,3740,5946.6
2010-10-13,1.59,1.59,1.59,1.59,25350,40306.5
2010-10-14,1.59,1.6,1.59,1.59,107860,171497.4
2010-10-15,1.58,1.63,1.58,1.58,1660,2622.8
2010-10-18,1.58,1.64,1.58,1.58,970,1532.6000000000001
2010-10-19,1.55,1.59,1.55,1.58,4840,7647.200000000001
2010-10-20,1.59,1.59,1.56,1.56,19210,29967.600000000002
2010-10-21,1.55,1.64,1.55,1.59,62240,98961.6
2010-10-22,1.58,1.58,1.58,1.58,1370,2164.6
2010-10-25,1.58,1.6,1.58,1.6,3310,5296.0
2010-10-26,1.63,1.67,1.63,1.63,8830,14392.9
2010-10-27,1.63,1.63,1.6,1.61,1510,2431.1000000000004
2010-10-28,1.6,1.61,1.59,1.6,2390,3824.0
2010-10-29,1.59,1.61,1.58,1.59,4100,6519.0
2010-11-01,1.59,1.61,1.56,1.61,4570,7357.700000000001
2010-11-02,1.63,1.63,1.6,1.63,30010,48916.299999999996
2010-11-03,1.64,1.64,1.61,1.63,12810,20880.3
2010-11-04,1.64,1.64,1.63,1.64,2310,3788.3999999999996
2010-11-05,1.64,1.67,1.63,1.67,4880,8149.599999999999
2010-11-08,1.67,1.67,1.67,1.67,7150,11940.5
2010-11-09,1.61,1.61,1.6,1.61,61410,98870.1
2010-11-10,1.64,1.64,1.61,1.61,46690,75170.90000000001
2010-11-11,1.64,1.64,1.59,1.59,145150,230788.5
2010-11-12,1.59,1.59,1.59,1.59,66500,105735.0
2010-11-15,1.59,1.6,1.58,1.59,2290,3641.1000000000004
2010-11-16,1.59,1.59,1.58,1.59,2090,3323.1000000000004
2010-11-17,1.59,1.59,1.58,1.59,29920,47572.8
2010-11-18,1.59,1.61,1.59,1.61,7840,12622.400000000001
2010-11-19,1.61,1.61,1.61,1.61,1310,2109.1
2010-11-22,1.59,1.59,1.59,1.59,580,922.2
2010-11-23,1.61,1.61,1.58,1.58,3550,5609.0
2010-11-24,1.61,1.61,1.59,1.61,7150,11511.5
2010-11-25,1.61,1.63,1.6,1.6,9090,14544.0
2010-11-26,1.61,1.61,1.58,1.61,7910,12735.1
2010-11-29,1.59,1.59,1.58,1.59,8840,14055.6
2010-11-30,1.58,1.61,1.58,1.58,12640,19971.2
2010-12-01,1.59,1.6,1.58,1.59,12680,20161.2
2010-12-02,1.58,1.61,1.58,1.61,6490,10448.900000000001
2010-12-03,1.61,1.63,1.61,1.61,9000,14490.0
2010-12-06,1.64,1.65,1.63,1.64,8820,14464.8
2010-12-07,1.63,1.63,1.61,1.63,7920,12909.599999999999
2010-12-08,1.63,1.63,1.59,1.61,6700,10787.0
2010-12-09,1.63,1.63,1.59,1.63,11510,18761.3
2010-12-10,1.64,1.64,1.59,1.64,8120,13316.8
2010-12-13,1.69,1.69,1.64,1.68,6490,10903.199999999999
2010-12-14,1.64,1.64,1.61,1.64,1710,2804.3999999999996
2010-12-15,1.64,1.67,1.61,1.64,1590,2607.6
2010-12-16,1.59,1.6,1.59,1.59,4020,6391.8
2010-12-17,1.61,1.61,1.59,1.61,7010,11286.1
2010-12-20,1.61,1.61,1.61,1.61,4470,7196.700000000001
2010-12-21,1.61,1.61,1.59,1.61,13850,22298.5
2010-12-22,1.61,1.61,1.6,1.61,6080,9788.800000000001
2010-12-23,1.6,1.6,1.6,1.6,11600,18560.0
2010-12-24,1.6,1.6,1.6,1.6,200,320.0
2010-12-27,1.64,1.64,1.6,1.6,5760,9216.0
2010-12-28,1.56,1.61,1.56,1.61,11000,17710.0
2010-12-29,1.61,1.61,1.59,1.61,14960,24085.600000000002
2010-12-30,1.63,1.63,1.6,1.61,13000,20930.0
2010-12-31,1.61,1.61,1.59,1.61,24500,39445.0
2011-01-04,1.63,1.63,1.6,1.6,16700,26720.0
2011-01-05,1.6,1.6,1.59,1.6,2720,4352.0
2011-01-06,1.65,1.65,1.65,1.65,10550,17407.5
2011-01-07,1.69,1.69,1.65,1.65,5890,9718.5
2011-01-10,1.64,1.64,1.64,1.64,100,164.0
2011-01-11,1.63,1.63,1.6,1.61,3730,6005.3
