time,open,high,low,close,volume,amounts
2018-11-23,29.17,29.17,29.17,29.17,300,8751.0
2018-11-26,33.53,33.53,33.53,33.53,27094,908461.8200000001
2018-11-27,35.55,38.55,35.24,38.55,537111,20705629.049999997
2018-11-28,38.0,38.46,36.8,37.88,222479,8427504.520000001
2018-11-29,36.77,37.69,36.77,37.57,73164,2748771.48
2018-11-30,37.2,38.61,37.08,38.31,231733,8877691.23
2018-12-03,38.31,40.42,37.91,40.39,319690,12912279.1
2018-12-04,40.14,40.14,38.77,38.86,68512,2662376.32
2018-12-05,38.77,38.86,38.31,38.46,52206,2007842.76
2018-12-06,38.61,38.64,38.31,38.4,37708,1447987.2
2018-12-07,38.92,39.29,38.31,39.07,80191,3133062.37
2018-12-10,39.84,39.84,38.77,38.92,20121,783109.3200000001
2018-12-11,39.53,39.53,38.67,38.86,30281,1176719.66
2018-12-12,38.77,39.53,38.73,39.22,83476,3273928.7199999997
2018-12-13,39.22,39.38,38.86,39.22,76827,3013154.94
2018-12-14,38.92,39.26,38.61,38.92,44141,1717967.72
2018-12-17,38.61,38.61,38.31,38.58,78264,3019425.1199999996
2018-12-18,38.31,38.58,38.0,38.31,103463,3963667.5300000003
2018-12-19,38.31,38.31,37.54,37.69,48025,1810062.25
2018-12-20,37.82,39.22,37.82,38.92,120522,4690716.24
2018-12-21,38.92,39.44,38.67,39.44,228817,9024542.479999999
2018-12-24,39.16,39.22,38.46,39.04,57530,2245971.1999999997
2018-12-25,38.43,38.89,38.31,38.89,40364,1569755.96
2018-12-26,38.61,38.8,38.37,38.4,25390,974976.0
2018-12-27,38.52,39.41,38.52,39.22,157114,6162011.08
2018-12-28,39.38,39.93,39.07,39.93,195413,7802841.09
2019-01-02,39.62,40.6,39.53,40.3,194456,7836576.8
2019-01-03,40.14,40.14,39.84,39.84,69816,2781469.4400000004
2019-01-04,39.56,39.99,39.53,39.84,44320,1765708.8
2019-01-07,39.84,40.36,39.84,40.36,60058,2423940.88
2019-01-08,40.14,40.21,39.84,39.9,34685,1383931.5
2019-01-09,39.84,40.14,39.53,40.14,47870,1921501.8
2019-01-10,39.96,42.29,39.93,41.58,197524,8213047.92
2019-01-11,42.6,43.06,41.83,43.06,137356,5914549.36
2019-01-14,43.21,44.4,42.9,44.28,139579,6180558.12
2019-01-15,43.97,43.97,37.39,43.52,241318,10502159.360000001
2019-01-16,43.52,46.27,43.52,46.24,85160,3937798.4000000004
2019-01-17,45.35,48.42,45.35,47.5,178928,8499080.0
2019-01-18,45.97,47.68,45.97,47.5,137173,6515717.5
2019-01-21,47.47,47.47,45.51,46.52,101385,4716430.2
2019-01-22,47.47,47.47,46.58,47.01,152546,7171187.46
2019-01-23,47.47,47.47,46.58,47.04,34923,1642777.92
2019-01-24,46.86,47.81,46.86,47.5,91611,4351522.5
2019-01-25,47.5,47.56,46.89,47.5,55181,2621097.5
2019-01-28,47.5,47.56,46.89,47.35,42313,2003520.55
2019-01-29,46.89,47.41,46.58,47.41,16496,782075.36
